"word","word_acc","stress_pattern","closure_pattern","closure","pos","feats","ending_st"
"мной","мно'й","1","1","masc","SPRO","SPRO,ед,1-л=твор","о'й"
"забывалась","забыва'лась","0010","10","fem","V","V,нп=прош,ед,изъяв,жен,несов","а'лась"
"ночь","но'чь","1","1","masc","S","S,жен,неод=(вин,ед|им,ед)","о'чь"
"посмотри","посмотри'","001","1","masc","V","V,сов,пе=ед,пов,2-л","ри'"
"хорош","хоро'ш","01","1","masc","A","A=ед,кр,муж","о'ш"
"тронь","тро'нь","1","1","masc","V","V,сов,пе=ед,пов,2-л","о'нь"
"рук","ру'к","1","1","masc","S","S,жен,неод=род,мн","у'к"
"любовь","любо'вь","01","1","masc","S","S,жен,неод=(вин,ед|им,ед)","о'вь"
"паренёк","паренё'к","001","1","masc","S","S,муж,од=им,ед","ё'к"
"раз","ра'з","1","1","masc","S","S,муж,неод=(вин,ед|род,мн|им,ед)","а'з"
"миг","ми'г","1","1","masc","S","S,муж,неод=(вин,ед|им,ед)","и'г"
"селянина","селя'нина","0100","100","dactylic","S","S,муж,од=(вин,ед|род,ед)","я'нина"
"мой","мо'й","1","1","masc","APRO","APRO=(вин,ед,муж,неод|им,ед,муж)","о'й"
"друг","дру'г","1","1","masc","S","S,муж,од=им,ед","у'г"
"дарами","дара'ми","010","10","fem","S","S,муж,неод=твор,мн","а'ми"
"позабудь","позабу'дь","001","1","masc","V","V=ед,пов,2-л,сов","у'дь"
"небеса","небеса'","001","1","masc","S","S,сред,неод=(вин,мн|им,мн)","са'"
"золотые","золоты'е","0010","10","fem","A","A=(вин,мн,полн,неод|им,мн,полн)","ы'е"
"вековой","веково'й","001","1","masc","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","о'й"
"конрад","ко'нрад","10","10","fem","S","S,имя,муж,од=им,ед","о'нрад"
"схватке","схва'тке","10","10","fem","S","S,жен,неод=(пр,ед|дат,ед)","а'тке"
"плеч","пле'ч","1","1","masc","S","S,сред,неод=род,мн","е'ч"
"покой","поко'й","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","о'й"
"рассуждает","рассужда'ет","0010","10","fem","V","V,несов,нп=непрош,ед,изъяв,3-л","а'ет"
"отслужил","отслужи'л","001","1","masc","V","V,пе=прош,ед,изъяв,муж,сов","и'л"
"пустыне","пусты'не","010","10","fem","S","S,жен,неод=(пр,ед|дат,ед)","ы'не"
"проберусь","проберу'сь","001","1","masc","V","V,нп=непрош,ед,изъяв,1-л,сов","у'сь"
"стуле","сту'ле","10","10","fem","S","S,муж,неод=пр,ед","у'ле"
"сидит","сиди'т","01","1","masc","V","V,несов,нп=непрош,ед,изъяв,3-л","и'т"
"ничего","ничего'","001","1","masc","ADV","ADV=","го'"
"супруге","супру'ге","010","10","fem","S","S,жен,од=(пр,ед|дат,ед)","у'ге"
"беда","беда'","01","1","masc","S","S,жен,неод=им,ед","да'"
"погубила","погуби'ла","0010","10","fem","V","V,сов,пе=прош,ед,изъяв,жен","и'ла"
"тобой","тобо'й","01","1","masc","SPRO","SPRO,ед,2-л=твор","о'й"
"нам","на'м","1","1","masc","SPRO","SPRO,мн,1-л=дат","а'м"
"решиться","реши'ться","010","10","fem","V","V,нп=инф,сов","и'ться"
"стерпеть","стерпе'ть","01","1","masc","V","V,сов,пе=инф","е'ть"
"грешна","грешна'","01","1","masc","A","A=ед,кр,жен","на'"
"отворяю","отворя'ю","0010","10","fem","V","V,пе=непрош,ед,изъяв,1-л,несов","я'ю"
"запал","запа'л","01","1","masc","V","V,нп=прош,ед,изъяв,муж,сов","а'л"
"ждать","жда'ть","1","1","masc","V","V,несов,пе=инф","а'ть"
"рассуждаешь","рассужда'ешь","0010","10","fem","V","V,несов,нп=непрош,ед,изъяв,2-л","а'ешь"
"дверь","две'рь","1","1","masc","S","S,жен,неод=(вин,ед|им,ед)","е'рь"
"спасай","спаса'й","01","1","masc","V","V=ед,пов,2-л,несов,пе","а'й"
"нужно","ну'жно","10","10","fem","ADV","ADV,прдк=","у'жно"
"крючков","крючко'в","01","1","masc","S","S,муж,неод=род,мн","о'в"
"жена","жена'","01","1","masc","S","S,жен,од=им,ед","на'"
"помешало","помеша'ло","0010","10","fem","V","V,сов,пе=прош,ед,изъяв,сред","а'ло"
"заблестел","заблесте'л","001","1","masc","V","V,сов,нп=прош,ед,изъяв,муж","е'л"
"закрыв","закры'в","01","1","masc","V","V=прош,деепр,сов","ы'в"
"благородный","благоро'дный","0010","10","fem","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж)","о'дный"
"злодей","злоде'й","01","1","masc","S","S,муж,од=им,ед","е'й"
"одет","оде'т","01","1","masc","V","V,пе=прош,ед,прич,кр,муж,сов,страд","е'т"
"гробницу","гробни'цу","010","10","fem","S","S,жен,неод=вин,ед","и'цу"
"два","два'","1","1","masc","NUM","NUM=(вин,муж,неод|им,муж|вин,сред|им,сред)","ва'"
"ней","не'й","1","1","masc","SPRO","SPRO,ед,3-л,жен=(пр|дат|род|твор)","е'й"
"баронов","баро'нов","010","10","fem","S","S,муж,од=(вин,мн|род,мн)","о'нов"
"молодой","молодо'й","001","1","masc","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","о'й"
"горят","горя'т","01","1","masc","V","V,несов,нп=непрош,мн,изъяв,3-л","я'т"
"похоронном","похоро'нном","0010","10","fem","A","A=(пр,ед,полн,муж|пр,ед,полн,сред)","о'нном"
"гром","гро'м","1","1","masc","S","S,муж,неод=(вин,ед|им,ед)","о'м"
"гостям","гостя'м","01","1","masc","S","S,муж,од=дат,мн","я'м"
"разъезжаться","разъезжа'ться","0010","10","fem","V","V,несов,нп=инф","а'ться"
"доски","доски'","01","1","masc","S","S,жен,неод=(вин,мн|род,ед|им,мн)","ки'"
"пустых","пусты'х","01","1","masc","A","A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)","ы'х"
"час","ча'с","1","1","masc","S","S,муж,неод=(вин,ед|им,ед)","а'с"
"завыла","завы'ла","010","10","fem","V","V,сов,нп=прош,ед,изъяв,жен","ы'ла"
"чужую","чужу'ю","010","10","fem","A","A,полн=вин,ед,жен","у'ю"
"вскочил","вскочи'л","01","1","masc","V","V,нп=прош,ед,изъяв,муж,сов","и'л"
"зажигает","зажига'ет","0010","10","fem","V","V=непрош,ед,изъяв,3-л,несов,пе","а'ет"
"видать","вида'ть","01","1","masc","ADV","ADV,вводн=","а'ть"
"наводит","наво'дит","010","10","fem","V","V=непрош,ед,изъяв,3-л,несов,пе","о'дит"
"лежала","лежа'ла","010","10","fem","V","V,несов,нп=прош,ед,изъяв,жен","а'ла"
"очах","оча'х","01","1","masc","S","S,сред,неод=пр,мн","а'х"
"ждет","жде'т","1","1","masc","V","V,несов,пе=непрош,ед,изъяв,3-л","е'т"
"постели","посте'ли","010","10","fem","S","S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)","е'ли"
"поздравить","поздра'вить","010","10","fem","V","V,пе=инф,сов","а'вить"
"творец","творе'ц","01","1","masc","S","S,муж,од=им,ед","е'ц"
"страх","стра'х","1","1","masc","S","S,муж,неод=(вин,ед|им,ед)","а'х"
"тобою","тобо'ю","010","10","fem","SPRO","SPRO,ед,2-л=твор","о'ю"
"одна","одна'","01","1","masc","APRO","APRO=им,ед,жен","на'"
"обнять","обня'ть","01","1","masc","V","V,пе=инф,сов","я'ть"
"милый","ми'лый","10","10","fem","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж)","и'лый"
"прильнул","прильну'л","01","1","masc","V","V,сов,нп=прош,ед,изъяв,муж","у'л"
"слезах","слеза'х","01","1","masc","S","S,жен,неод=пр,мн","а'х"
"всевышний","всевы'шний","010","10","fem","S","S,муж,од=им,ед","ы'шний"
"нанеси","нанеси'","001","1","masc","V","V=ед,пов,2-л,сов","си'"
"сил","си'л","1","1","masc","S","S,жен,неод=род,мн","и'л"
"друга","дру'га","10","10","fem","S","S,муж,од=(вин,ед|род,ед)","у'га"
"петух","пету'х","01","1","masc","S","S,муж,од=им,ед","у'х"
"замглось","за'мглось","10","10","fem","ADV","ADV,вводн=","а'мглось"
"волненье","волне'нье","010","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","е'нье"
"господам","господа'м","001","1","masc","S","S,муж,од=дат,мн","а'м"
"глазах","глаза'х","01","1","masc","S","S,муж,неод=пр,мн","а'х"
"объятий","объя'тий","010","10","fem","S","S,сред,неод=род,мн","я'тий"
"степи","степи'","01","1","masc","S","S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн)","пи'"
"очам","оча'м","01","1","masc","S","S,сред,неод=дат,мн","а'м"
"возврата","возвра'та","010","10","fem","S","S,муж,неод=род,ед","а'та"
"страхом","стра'хом","10","10","fem","S","S,муж,неод=твор,ед","а'хом"
"узрел","узре'л","01","1","masc","V","V,сов,пе=прош,ед,изъяв,муж","е'л"
"оживил","оживи'л","001","1","masc","V","V,пе=прош,ед,изъяв,муж,сов","и'л"
"смятенных","смяте'нных","010","10","fem","A","A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)","е'нных"
"небесам","небеса'м","001","1","masc","S","S,сред,неод=дат,мн","а'м"
"чудотворной","чудотво'рной","0010","10","fem","A","A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","о'рной"
"слов","сло'в","1","1","masc","S","S,сред,неод=род,мн","о'в"
"света","све'та","10","10","fem","S","S,ед,муж,неод=род","е'та"
"прелестный","преле'стный","010","10","fem","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж)","е'стный"
"утрата","утра'та","010","10","fem","S","S,жен,неод=им,ед","а'та"
"развеет","разве'ет","010","10","fem","V","V,пе=непрош,ед,изъяв,3-л,сов","е'ет"
"сгниет","сгниё'т","01","1","masc","V","V,нп=непрош,ед,изъяв,3-л,сов","ё'т"
"каталани","катала'ни","0010","10","fem","S","S,имя,муж,од=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед)","а'ни"
"мечтаний","мечта'ний","010","10","fem","S","S,сред,неод=род,мн","а'ний"
"принужденной","принуждё'нной","0010","10","fem","V","V=(прош,пр,ед,прич,полн,жен,сов,страд,пе|прош,дат,ед,прич,полн,жен,сов,страд,пе|прош,род,ед,прич,полн,жен,сов,страд,пе|прош,твор,ед,прич,полн,жен,сов,страд,пе)","ё'нной"
"его","его'","01","1","masc","SPRO","SPRO,ед,3-л,муж=(вин|род)","го'"
"стихи","стихи'","01","1","masc","S","S,муж,неод=(вин,мн|им,мн)","хи'"
"это","э'то","10","10","fem","SPRO","SPRO,ед,сред,неод=(вин|им)","э'то"
"страсть","стра'сть","1","1","masc","S","S,жен,неод=(вин,ед|им,ед)","а'сть"
"пустой","пусто'й","01","1","masc","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","о'й"
"знакомство","знако'мство","010","10","fem","S","S,сред,неод=(вин,ед|им,ед)","о'мство"
"бокал","бока'л","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","а'л"
"толку","то'лку","10","10","fem","S","S,муж,неод=(дат,ед|парт,ед)","о'лку"
"голове","голове'","001","1","masc","S","S,жен,неод=(пр,ед|дат,ед)","ве'"
"я","я'","1","1","masc","SPRO","SPRO,ед,1-л=им","я'"
"машинально","машина'льно","0010","10","fem","A","A=ед,кр,сред","а'льно"
"отраду","отра'ду","010","10","fem","S","S,жен,неод=вин,ед","а'ду"
"привык","привы'к","01","1","masc","V","V,нп=прош,ед,изъяв,муж,сов","ы'к"
"уныло","уны'ло","010","10","fem","ADV","ADV=","ы'ло"
"следит","следи'т","01","1","masc","V","V,несов,нп=непрош,ед,изъяв,3-л","и'т"
"моя","моя'","01","1","masc","APRO","APRO=им,ед,жен","оя'"
"битвой","би'твой","10","10","fem","S","S,жен,неод=твор,ед","и'твой"
"запала","запа'ла","010","10","fem","V","V,нп=прош,ед,изъяв,жен,сов","а'ла"
"условной","усло'вной","010","10","fem","A","A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","о'вной"
"раздается","раздаё'тся","0010","10","fem","V","V,нп=непрош,ед,изъяв,3-л,несов","ё'тся"
"богов","бого'в","01","1","masc","S","S,муж,од=(вин,мн|род,мн)","о'в"
"чистой","чи'стой","10","10","fem","A","A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","и'стой"
"катит","ка'тит","10","10","fem","V","V,несов,пе=непрош,ед,изъяв,3-л","а'тит"
"мутной","му'тной","10","10","fem","A","A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","у'тной"
"оды","о'ды","10","10","fem","S","S,жен,неод=(вин,мн|род,ед|им,мн)","о'ды"
"строф","стро'ф","1","1","masc","S","S,жен,неод=род,мн","о'ф"
"сплетенье","сплете'нье","010","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","е'нье"
"похвал","похва'л","01","1","masc","S","S,жен,неод=род,мн","а'л"
"удалая","удала'я","0100","1","masc","A","A=им,ед,полн,жен","а'я"
"наводненье","наводне'нье","0010","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","е'нье"
"сатиры","сати'ры","010","10","fem","S","S,жен,неод=(вин,мн|род,ед|им,мн)","и'ры"
"епиграм","епи'грам","010","10","fem","S","S,муж,од=дат,мн","и'грам"
"восклицанья","восклица'нья","0010","10","fem","S","S,сред,неод=(вин,мн|род,ед|им,мн)","а'нья"
"остротой","острото'й","001","1","masc","S","S,жен,неод=твор,ед","о'й"
"опраженья","опра'женья","0100","10","fem","S","S,сред,неод=(вин,мн|род,ед|им,мн)","е'нья"
"мира","ми'ра","10","10","fem","S","S,муж,неод=род,ед","и'ра"
"сует","суё'т","01","1","masc","S","S,жен,неод=род,мн","ё'т"
"небесной","небе'сной","010","10","fem","A","A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","е'сной"
"нас","на'с","1","1","masc","SPRO","SPRO,мн,1-л=(пр|вин|род)","а'с"
"поэта","поэ'та","010","10","fem","S","S,муж,од=(вин,ед|род,ед)","э'та"
"слух","слу'х","1","1","masc","S","S,муж,неод=(вин,ед|им,ед)","у'х"
"лучами","луча'ми","010","10","fem","S","S,муж,неод=твор,мн","а'ми"
"освещать","освеща'ть","001","1","masc","V","V,пе=инф,несов","а'ть"
"пространстве","простра'нстве","010","10","fem","S","S,сред,неод=пр,ед","а'нстве"
"путём","путё'м","01","1","masc","ADV","ADV=","ё'м"
"теней","те'ней","10","10","fem","S","S,жен,неод=род,мн","е'ней"
"побужденье","побужде'нье","0010","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","е'нье"
"впечатленных","впеча'тленных","0100","100","dactylic","V","V,пе=(прош,пр,мн,прич,полн,сов,страд|прош,вин,мн,прич,полн,сов,страд,од|прош,род,мн,прич,полн,сов,страд)","а'тленных"
"очей","оче'й","01","1","masc","S","S,сред,неод=род,мн","е'й"
"былинки","были'нки","010","10","fem","S","S,жен,неод=(вин,мн|род,ед|им,мн)","и'нки"
"свой","сво'й","1","1","masc","APRO","APRO=(вин,ед,муж,неод|им,ед,муж)","о'й"
"воспевает","воспева'ет","0010","10","fem","V","V,пе=непрош,ед,изъяв,3-л,несов","а'ет"
"выраженье","выраже'нье","0010","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","е'нье"
"дум","ду'м","1","1","masc","S","S,жен,неод=род,мн","у'м"
"семя","се'мя","10","10","fem","S","S,сред,неод=(вин,ед|им,ед)","е'мя"
"небес","небе'с","01","1","masc","S","S,сред,неод=род,мн","е'с"
"дремлет","дре'млет","10","10","fem","V","V,несов,нп=непрош,ед,изъяв,3-л","е'млет"
"чистотой","чистото'й","001","1","masc","S","S,ед,жен,неод=твор","о'й"
"наслажденья","наслажде'нья","0010","10","fem","S","S,сред,неод=(вин,мн|род,ед|им,мн)","е'нья"
"плодов","плодо'в","01","1","masc","S","S,муж,неод=род,мн","о'в"
"росой","росо'й","01","1","masc","S","S,жен,неод=твор,ед","о'й"
"пробудится","пробу'дится","0100","100","dactylic","V","V,нп=непрош,ед,изъяв,3-л,сов","у'дится"
"своих","свои'х","01","1","masc","APRO","APRO=(пр,мн|род,мн|вин,мн,од)","и'х"
"своего","своего'","001","1","masc","APRO","APRO=(вин,ед,муж,од|род,ед,муж|род,ед,сред)","го'"
"лир","ли'р","1","1","masc","S","S,жен,неод=род,мн","и'р"
"трель","тре'ль","1","1","masc","S","S,жен,неод=(вин,ед|им,ед)","е'ль"
"поэт","поэ'т","01","1","masc","S","S,муж,од=им,ед","э'т"
"образца","образца'","001","1","masc","S","S,муж,неод=род,ед","ца'"
"сохранилась","сохрани'лась","0010","10","fem","V","V,нп=прош,ед,изъяв,жен,сов","и'лась"
"словесник","слове'сник","010","10","fem","S","S,муж,од=им,ед","е'сник"
"нить","ни'ть","1","1","masc","S","S,жен,неод=(вин,ед|им,ед)","и'ть"
"державен","держа'вен","010","10","fem","A","A=ед,кр,муж","а'вен"
"венец","вене'ц","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","е'ц"
"горчаков","горчако'в","001","1","masc","S","S,фам,муж,од=им,ед","о'в"
"умел","умё'л","01","1","masc","V","V,несов,нп=прош,ед,изъяв,муж","ё'л"
"разряда","разря'да","010","10","fem","S","S,муж,неод=род,ед","я'да"
"ламартины","ламарти'ны","0010","10","fem","S","S,фам,муж,од=им,мн","и'ны"
"геликонской","гелико'нской","0010","10","fem","S","S,фам,жен,од=(пр,ед|дат,ед|род,ед|твор,ед)","о'нской"
"других","други'х","01","1","masc","APRO","APRO=(пр,мн|род,мн|вин,мн,од)","и'х"
"бденье","бде'нье","10","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","е'нье"
"скамьях","скамья'х","01","1","masc","S","S,жен,неод=пр,мн","я'х"
"озаряла","озаря'ла","0010","10","fem","V","V,пе=прош,ед,изъяв,жен,несов","я'ла"
"святой","свято'й","01","1","masc","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","о'й"
"духовным","духо'вным","010","10","fem","A","A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред)","о'вным"
"геликон","гелико'н","001","1","masc","S","S,муж,неод=(вин,ед|им,ед)","о'н"
"жуковской","жуко'вской","010","10","fem","S","S,фам,жен,од=(пр,ед|дат,ед|род,ед|твор,ед)","о'вской"
"крылов","крыло'в","01","1","masc","S","S,фам,муж,од=им,ед","о'в"
"драма","дра'ма","10","10","fem","S","S,жен,неод=им,ед","а'ма"
"пера","пера'","01","1","masc","S","S,сред,неод=род,ед","ра'"
"гложет","гло'жет","10","10","fem","V","V,несов,пе=непрош,ед,изъяв,3-л","о'жет"
"урока","уро'ка","010","10","fem","S","S,муж,неод=род,ед","о'ка"
"когда","когда'","01","1","masc","ADVPRO","ADVPRO=","да'"
"природы","приро'ды","010","10","fem","S","S,жен,неод=(вин,мн|род,ед|им,мн)","о'ды"
"немало","нема'ло","010","10","fem","ADV","ADV=","а'ло"
"певцов","певцо'в","01","1","masc","S","S,муж,од=(вин,мн|род,мн)","о'в"
"лоз","ло'з","1","1","masc","S","S,жен,неод=род,мн","о'з"
"вдохновений","вдохнове'ний","0010","10","fem","S","S,сред,неод=род,мн","е'ний"
"мечтам","мечта'м","01","1","masc","S","S,жен,неод=дат,мн","а'м"
"нектара","некта'ра","010","10","fem","S","S,муж,неод=род,ед","а'ра"
"яд","я'д","1","1","masc","S","S,муж,неод=(вин,ед|им,ед)","я'д"
"прямой","прямо'й","01","1","masc","A","A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","о'й"
"сопутник","сопу'тник","010","10","fem","S","S,муж=(им,ед,од|вин,ед,неод|им,ед,неод)","у'тник"
"храм","хра'м","1","1","masc","S","S,муж,неод=(вин,ед|им,ед)","а'м"
"союз","сою'з","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","ю'з"
"благоуханье","благоуха'нье","00010","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","а'нье"
"созерцанью","созерца'нью","0010","10","fem","S","S,сред,неод=дат,ед","а'нью"
"цветы","цветы'","01","1","masc","S","S,муж,неод=(вин,мн|им,мн)","ты'"
"проявленья","проявле'нья","0010","10","fem","S","S,сред,неод=(вин,мн|род,ед|им,мн)","е'нья"
"покров","покро'в","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","о'в"
"назначенье","назначе'нье","0010","10","fem","S","S,сред,неод=(пр,ед|вин,ед|им,ед)","е'нье"
"светить","свети'ть","01","1","masc","V","V,несов,нп=инф","и'ть"
"сияньи","сия'ньи","010","10","fem","S","S,сред,неод=пр,ед","я'ньи"
"глаз","гла'з","1","1","masc","S","S,муж,неод=(вин,ед|род,мн|им,ед)","а'з"
"чужих","чужи'х","01","1","masc","A","A,полн=(пр,мн|род,мн|вин,мн,од)","и'х"
"воображенья","воображе'нья","00010","10","fem","S","S,сред,неод=(вин,мн|род,ед|им,мн)","е'нья"
"мечте","мечте'","01","1","masc","S","S,жен,неод=(пр,ед|дат,ед)","те'"
"восклицают","восклица'ют","0010","10","fem","V","V,нп=непрош,мн,изъяв,3-л,несов","а'ют"
"разлад","разла'д","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","а'д"
"рукоплесканий","рукоплеска'ний","00010","10","fem","S","S,сред,неод=род,мн","а'ний"
"одной","одно'й","01","1","masc","APRO","APRO=(пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен)","о'й"
"бесплодной","беспло'дной","010","10","fem","A","A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","о'дной"
"алкать","алка'ть","01","1","masc","V","V,несов,нп=инф","а'ть"
"минут","мину'т","01","1","masc","S","S,жен,неод=род,мн","у'т"
"земное","земно'е","010","10","fem","A","A=(вин,ед,полн,сред|им,ед,полн,сред)","о'е"
"восток","восто'к","01","1","masc","S","S,гео,муж,неод=(вин,ед|им,ед)","о'к"
"дух","ду'х","1","1","masc","S","S,муж,неод=(вин,ед|им,ед)","у'х"
"хотите","хоти'те","010","10","fem","V","V,несов,пе=(непрош,мн,изъяв,2-л|мн,пов,2-л)","и'те"
"проглянет","прогля'нет","010","10","fem","V","V,сов,нп=непрош,ед,изъяв,3-л","я'нет"
"велегласной","велегла'сной","0010","10","fem","A","A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен)","а'сной"
"хора","хо'ра","10","10","fem","S","S,муж,неод=род,ед","о'ра"
"впопад","впопа'д","01","1","masc","ADV","ADV=","а'д"
"сердцах","сердца'х","01","1","masc","S","S,сред,неод=пр,мн","а'х"
"взором","взо'ром","10","10","fem","S","S,муж,неод=твор,ед","о'ром"
"берегам","берега'м","001","1","masc","S","S,муж,неод=дат,мн","а'м"
"караваны","карава'ны","0010","10","fem","S","S,муж,неод=(вин,мн|им,мн)","а'ны"
"воркуют","ворку'ют","010","10","fem","V","V,несов,нп=непрош,мн,изъяв,3-л","у'ют"
"расписных","расписны'х","001","1","masc","A","A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн)","ы'х"
"цены","це'ны","10","10","fem","S","S,жен,неод=(вин,мн|род,ед|им,мн)","е'ны"
"отказ","отка'з","01","1","masc","S","S,муж,неод=(вин,ед|им,ед)","а'з"
"сбором","сбо'ром","10","10","fem","S","S,муж,неод=твор,ед","о'ром"
"пьют","пью'т","1","1","masc","V","V,несов,пе=непрош,мн,изъяв,3-л","ю'т"
"заслонилась","заслони'лась","0010","10","fem","V","V,сов,нп=прош,ед,изъяв,жен","и'лась"
"богачей","богаче'й","001","1","masc","S","S,муж,од=(вин,мн|род,мн)","е'й"
"покупатель","покупа'тель","0010","10","fem","S","S,муж,од=им,ед","а'тель"
"налетели","налете'ли","0010","10","fem","V","V,нп=прош,мн,изъяв,сов","е'ли"
"пристаней","при'станей","100","100","dactylic","S","S,жен,неод=род,мн","и'станей"
"цена","цена'","01","1","masc","S","S,жен,неод=им,ед","на'"
"разговоры","разгово'ры","0010","10","fem","S","S,муж,неод=(вин,мн|им,мн)","о'ры"
