"word","word_acc","stress_pattern","closure_pattern","closure","ending_st"
"божью","бо'жью","10","10","fem","о'жью"
"царица","цари'ца","010","10","fem","и'ца"
"остынет","осты'нет","010","10","fem","ы'нет"
"сверкать","сверка'ть","01","1","masc","а'ть"
"грозна","грозна'","01","1","masc","на'"
"смиренной","смирё'нной","010","10","fem","ё'нной"
"чудес","чуде'с","01","1","masc","е'с"
"небылиц","небыли'ц","001","1","masc","и'ц"
"слогом","сло'гом","10","10","fem","о'гом"
"тем","те'м","1","1","masc","е'м"
"происходит","происхо'дит","0010","10","fem","о'дит"
"увидишь","уви'дишь","010","10","fem","и'дишь"
"ожидал","ожида'л","001","1","masc","а'л"
"знаешь","зна'ешь","10","10","fem","а'ешь"
"попугай","попуга'й","001","1","masc","а'й"
"проходит","прохо'дит","010","10","fem","о'дит"
"voyage","voyage",NA,NA,NA,NA
"помыслить","помы'слить","010","10","fem","ы'слить"
"душа","душа'","01","1","masc","ша'"
"честь","че'сть","1","1","masc","е'сть"
"париже","пари'же","010","10","fem","и'же"
"louis7сыскать","louis7сыска'ть","01","1","masc","а'ть"
"напасти","напа'сти","010","10","fem","а'сти"
"назад","наза'д","01","1","masc","а'д"
"имея","имея'","010","10","fem","ея'"
"цену","це'ну","10","10","fem","е'ну"
"нибудь","нибу'дь","01","1","masc","у'дь"
"самой","са'мой","10","10","fem","а'мой"
"стороне","стороне'","001","1","masc","не'"
"париж","пари'ж","01","1","masc","и'ж"
"рада","ра'да","10","10","fem","а'да"
"тень","те'нь","1","1","masc","е'нь"
"прост","про'ст","1","1","masc","о'ст"
"теперь","тепе'рь","01","1","masc","е'рь"
"можно","мо'жно","10","10","fem","о'жно"
"вижу","ви'жу","10","10","fem","и'жу"
"знаю","зна'ю","10","10","fem","а'ю"
"перетаскала","перетаска'ла","00010","10","fem","а'ла"
"указ","ука'з","01","1","masc","а'з"
"нами","на'ми","10","10","fem","а'ми"
"желает","жела'ет","010","10","fem","а'ет"
"своих","свои'х","01","1","masc","и'х"
"походят","похо'дят","010","10","fem","о'дят"
"ахинею","ахине'ю","0010","10","fem","е'ю"
"сотворитель","сотвори'тель","0010","10","fem","и'тель"
"сей","се'й","1","1","masc","е'й"
"сокрушенно","сокрушё'нно","001'0","001'0","other","ё'нно"
"понимал","понима'л","001","1","masc","а'л"
"сомневаюсь","сомнева'юсь","0010","10","fem","а'юсь"
"скоротечный","скороте'чный","0010","10","fem","е'чный"
"вокруг","вокру'г","01","1","masc","у'г"
"грызет","грызё'т","01'","01'","other","ё'т"
"дум","ду'м","1","1","masc","у'м"
"ношусь","ношу'сь","01","1","masc","у'сь"
"друзья","друзья'","01","1","masc","ья'"
"моим","мои'м","01","1","masc","и'м"
"зевеса","зеве'са","010","10","fem","е'са"
"могилы","моги'лы","010","10","fem","и'лы"
"воскресать","воскреса'ть","001","1","masc","а'ть"
"явлений","явле'ний","010","10","fem","е'ний"
"тишком","тишко'м","01","1","masc","о'м"
"невидимкой","невиди'мкой","0010","10","fem","и'мкой"
"прикосновеньем","прикосн'овеньем","01000","01000","other","н'овеньем"
"волос","во'лос","10","10","fem","о'лос"
"листами","листа'ми","010","10","fem","а'ми"
"прильнет","прильнё'т","01'","01'","other","ё'т"
"пробежал","пробежа'л","001","1","masc","а'л"
"ты","ты'","1","1","masc","ты'"
"очи","о'чи","10","10","fem","о'чи"
"умрет","умрё'т","01'","01'","other","ё'т"
"тобой","тобо'й","01","1","masc","о'й"
"долог","до'лог","10","10","fem","о'лог"
"блаженство","блаже'нство","010","10","fem","е'нство"
"красот","красо'т","01","1","masc","о'т"
"своею","свое'ю","010","10","fem","е'ю"
"исчезают","исчеза'ют","0010","10","fem","а'ют"
"споре","спо'ре","10","10","fem","о'ре"
"волн","во'лн","1","1","masc","о'лн"
"вселенной","вселё'нной","010","10","fem","ё'нной"
"предайся","преда'йся","010","10","fem","а'йся"
"любви","любви'","01","1","masc","ви'"
"море","мо'ре","10","10","fem","о'ре"
"скорбя","скорбя'","01","1","masc","бя'"
"заиграли","заигра'ли","0010","10","fem","а'ли"
"любовь","любо'вь","01","1","masc","о'вь"
"вдохновенье","вдохнове'нье","0010","10","fem","е'нье"
"мечта","мечта'","01","1","masc","та'"
"сердечный","серде'чный","010","10","fem","е'чный"
"сон","со'н","1","1","masc","о'н"
"зеркально","зерка'льно","010","10","fem","а'льно"
"чело","чело'","01","1","masc","ло'"
"свято","свя'то","10","10","fem","я'то"
"люблю","люблю'","01","1","masc","лю'"
"взора","взо'ра","10","10","fem","о'ра"
"прощанье","проща'нье","010","10","fem","а'нье"
"одну","одну'","01","1","masc","ну'"
"согрета","согре'та","010","10","fem","е'та"
"ставней","ставне'й","01","1","masc","е'й"
"храп","хра'п","1","1","masc","а'п"
"муж","му'ж","1","1","masc","у'ж"
"ним","ни'м","1","1","masc","и'м"
"реке","реке'","01","1","masc","ке'"
"речь","ре'чь","1","1","masc","е'чь"
"добром","до'бром","10","10","fem","о'бром"
"меху","меху'","01","1","masc","ху'"
"плеча","плеча'","01","1","masc","ча'"
"устрашив","устраши'в","001","1","masc","и'в"
"захотел","захоте'л","001","1","masc","е'л"
"плешь","пле'шь","1","1","masc","е'шь"
"бежать","бежа'ть","01","1","masc","а'ть"
"лицом","лицо'м","01","1","masc","о'м"
"двор","дво'р","1","1","masc","о'р"
"мигнул","мигну'л","01","1","masc","у'л"
"лещ","ле'щ","1","1","masc","е'щ"
"свет","све'т","1","1","masc","е'т"
"леща","леща'","01","1","masc","ща'"
"москву","москву'","01","1","masc","ву'"
"бесконечный","бесконе'чный","0010","10","fem","е'чный"
"вещества","вещества'","001","1","masc","ва'"
"единый","еди'ный","010","10","fem","и'ный"
"наполняет","наполня'ет","0010","10","fem","я'ет"
"глубокий","глубо'кий","010","10","fem","о'кий"
"планет","плане'т","01","1","masc","е'т"
"просвещенны","просвещё'нны","001'0","001'0","other","ё'нны"
"твоих","твои'х","01","1","masc","и'х"
"дерзает","дерза'ет","010","10","fem","а'ет"
"довременну","довреме'нну","0010","10","fem","е'нну"
"воззвал","воззва'л","01","1","masc","а'л"
"составляя","составля'я","0010","10","fem","я'я"
"истек","истё'к","01'","01'","other","ё'к"
"словом","сло'вом","10","10","fem","о'вом"
"вмещаешь","вмеща'ешь","010","10","fem","а'ешь"
"живишь","живи'шь","01","1","masc","и'шь"
"стремятся","стремя'тся","010","10","fem","я'тся"
"зимой","зимо'й","01","1","masc","о'й"
"миллионы","миллио'ны","0010","10","fem","о'ны"
"лампады","лампа'ды","010","10","fem","а'ды"
"эфиры","эфи'ры","010","10","fem","и'ры"
"опущенна","опу'щенна","0100","100","dactylic","у'щенна"
"оном","о'ном","10","10","fem","о'ном"
"то","то'","1","1","masc","то'"
"сияешь","сия'ешь","010","10","fem","я'ешь"
"доброт","добро'т","01","1","masc","о'т"
"ощущаю","ощуща'ю","0010","10","fem","а'ю"
"высоты","высоты'","001","1","masc","ты'"
"той","то'й","1","1","masc","о'й"
"телесных","теле'сных","010","10","fem","е'сных"
"сущих","су'щих","10","10","fem","у'щих"
"истлеваю","истлева'ю","0010","10","fem","а'ю"
"бог","бо'г","1","1","masc","о'г"
"создатель","созда'тель","010","10","fem","а'тель"
"тварь","тва'рь","1","1","masc","а'рь"
"было","бы'ло","10","10","fem","ы'ло"
"бытие","бытие'","001","1","masc","ие'"
"облачился","облачи'лся","0010","10","fem","и'лся"
"должно","должно'","01","1","masc","но'"
"почтить","почти'ть","01","1","masc","и'ть"
"возвышаться","возвыша'ться","0010","10","fem","а'ться"
"столица","столи'ца","010","10","fem","и'ца"
"доложить","доложи'ть","001","1","masc","и'ть"
"удивленье","удивле'нье","0010","10","fem","е'нье"
"гранит","грани'т","01","1","masc","и'т"
"вальяжно","валья'жно","010","10","fem","я'жно"
"бонтон","бо`нто'н","01","1","masc","о'н"
"знатно","зна'тно","10","10","fem","а'тно"
"шоколадом","шокола'дом","0010","10","fem","а'дом"
"заведений","заведе'ний","0010","10","fem","е'ний"
"всех","все'х","1","1","masc","е'х"
"загляденье","загляде'нье","0010","10","fem","е'нье"
"кафе","кафе'","01","1","masc","фе'"
"обступят","обсту'пят","010","10","fem","у'пят"
"бось","бо'сь","1","1","masc","о'сь"
"горстки","го'рстки","10","10","fem","о'рстки"
"пассажа","пасса'жа","010","10","fem","а'жа"
"такой","тако'й","01","1","masc","о'й"
"изъяне","изъя'не","010","10","fem","я'не"
"итог","ито'г","01","1","masc","о'г"
"громадных","грома'дных","010","10","fem","а'дных"
"фонарей","фонаре'й","001","1","masc","е'й"
"паркетом","парке'том","010","10","fem","е'том"
"бег","бе'г","1","1","masc","е'г"
"сноровка","сноро'вка","010","10","fem","о'вка"
"чародей","чароде'й","001","1","masc","е'й"
"народы","наро'ды","010","10","fem","о'ды"
"сокровищ","сокро'вищ","010","10","fem","о'вищ"
"час","ча'с","1","1","masc","а'с"
"голосок","голосо'к","001","1","masc","о'к"
"порхают","порха'ют","010","10","fem","а'ют"
"пера","пера'","01","1","masc","ра'"
"сознаться","созна'ться","010","10","fem","а'ться"
"слышится","слы'шится","100","100","dactylic","ы'шится"
"долиной","доли'ной","010","10","fem","и'ной"
"звон","зво'н","1","1","masc","о'н"
"разливе","разли'ве","010","10","fem","и'ве"
"день","де'нь","1","1","masc","е'нь"
"поспеши","поспеши'","001","1","masc","ши'"
"глас","гла'с","1","1","masc","а'с"
"лице","лице'","01","1","masc","це'"
"судия","судия'","001","1","masc","ия'"
"разят","разя'т","01","1","masc","я'т"
"волей","во'лей","10","10","fem","о'лей"
"сень","се'нь","1","1","masc","е'нь"
"граждан","гра'ждан","10","10","fem","а'ждан"
"гордяся","гордя'ся","010","10","fem","я'ся"
"ряд","ря'д","1","1","masc","я'д"
"причислил","причи'слил","010","10","fem","и'слил"
"моя","моя'","01","1","masc","оя'"
"способна","спосо'бна","010","10","fem","о'бна"
"дышит","ды'шит","10","10","fem","ы'шит"
"светила","свети'ла","010","10","fem","и'ла"
"гласит","гласи'т","01","1","masc","и'т"
"малость","ма'лость","10","10","fem","а'лость"
"орлов","орло'в","01","1","masc","о'в"
"одни","одни'","01","1","masc","ни'"
"непогоду","непого'ду","0010","10","fem","о'ду"
"престоле","престо'ле","010","10","fem","о'ле"
"ввек","вве'к","1","1","masc","е'к"
"иноплеменны","иноплеме'нны","00010","10","fem","е'нны"
"музы","му'зы","10","10","fem","у'зы"
"возжигать","возжига'ть","001","1","masc","а'ть"
"екатерину","екатери'ну","00010","10","fem","и'ну"
"гонясь","гоня'сь","01","1","masc","я'сь"
"чудесах","чудеса'х","001","1","masc","а'х"
"делами","дела'ми","010","10","fem","а'ми"
"чада","ча'да","10","10","fem","а'да"
"отвратить","отврати'ть","001","1","masc","и'ть"
"героини","герои'ни","0010","10","fem","и'ни"
"слаб","сла'б","1","1","masc","а'б"
"мер","ме'р","1","1","masc","е'р"
"поклон","покло'н","01","1","masc","о'н"
"пророк","проро'к","01","1","masc","о'к"
"царями","царя'ми","010","10","fem","я'ми"
"тому","тому'","01","1","masc","му'"
"числит","чи'слит","10","10","fem","и'слит"
"простой","просто'й","01","1","masc","о'й"
"дерзаю","дерза'ю","010","10","fem","а'ю"
"храм","хра'м","1","1","masc","а'м"
"воле","во'ле","10","10","fem","о'ле"
"довольно","дово'льно","010","10","fem","о'льно"
"престало","преста'ло","010","10","fem","а'ло"
"путь","пу'ть","1","1","masc","у'ть"
"дел","де'л","1","1","masc","е'л"
"войнах","во'йнах","10","10","fem","о'йнах"
"неприступно","непристу'пно","0010","10","fem","у'пно"
"забвенны","забве'нны","010","10","fem","е'нны"
"дарами","дара'ми","010","10","fem","а'ми"
"брань","бра'нь","1","1","masc","а'нь"
"карфагена","карфаге'на","0010","10","fem","е'на"
"муз","му'з","1","1","masc","у'з"
"рим","ри'м","1","1","masc","и'м"
"рекою","реко'ю","010","10","fem","о'ю"
"ветерок","ветеро'к","001","1","masc","о'к"
"прекрасный","прекра'сный","010","10","fem","а'сный"
"веслом","весло'м","01","1","masc","о'м"
"гу","гу'","1","1","masc","гу'"
"весло","весло'","01","1","masc","ло'"
"помчались","помча'лись","010","10","fem","а'лись"
"вод","во'д","1","1","masc","о'д"
"пели","пе'ли","10","10","fem","е'ли"
"нас","на'с","1","1","masc","а'с"
"забылся","забы'лся","010","10","fem","ы'лся"
"заревел","зареве'л","001","1","masc","е'л"
"камень","ка'мень","10","10","fem","а'мень"
"прекрасных","прекра'сных","010","10","fem","а'сных"
"брожу","брожу'","01","1","masc","жу'"
"погоды","пого'ды","010","10","fem","о'ды"
"челнок","челно'к","01","1","masc","о'к"
"блистало","блиста'ло","010","10","fem","а'ло"
"порхали","порха'ли","010","10","fem","а'ли"
"прохлад","прохла'д","01","1","masc","а'д"
"каменистых","камени'стых","0010","10","fem","и'стых"
"прекрасной","прекра'сной","010","10","fem","а'сной"
"сидел","сиде'л","01","1","masc","е'л"
"утехи","уте'хи","010","10","fem","е'хи"
"чертах","черта'х","01","1","masc","а'х"
"улыбаясь","улыба'ясь","0010","10","fem","а'ясь"
"соглашая","соглаша'я","0010","10","fem","а'я"
"ударял","ударя'л","001","1","masc","я'л"
"рабом","рабо'м","01","1","masc","о'м"
"законом","зако'ном","010","10","fem","о'ном"
"врожденно","врождё'нно","01'0","01'0","other","ё'нно"
"обнажить","обнажи'ть","001","1","masc","и'ть"
"вовек","вове'к","01","1","masc","е'к"
"родился","роди'лся","010","10","fem","и'лся"
"мечтою","мечто'ю","010","10","fem","о'ю"
"долю","до'лю","10","10","fem","о'лю"
"ковал","кова'л","01","1","masc","а'л"
"честей","че'стей","10","10","fem","е'стей"
"титу","ти'ту","10","10","fem","и'ту"
"пленять","пленя'ть","01","1","masc","я'ть"
"крови","кро'ви","10","10","fem","о'ви"
"душою","душо'ю","010","10","fem","о'ю"
"алкал","алка'л","01","1","masc","а'л"
"башен","ба'шен","10","10","fem","а'шен"
"почтен","почтё'н","01'","01'","other","ё'н"
"веком","ве'ком","10","10","fem","е'ком"
"великим","вели'ким","010","10","fem","и'ким"
"мест","ме'ст","1","1","masc","е'ст"
"вскрывает","вскрыва'ет","010","10","fem","а'ет"
"восхищенья","восхи'щенья","0100","100","dactylic","и'щенья"
"захожденьем","захожде'ньем","0010","10","fem","е'ньем"
"засыпать","засыпа'ть","001","1","masc","а'ть"
"строит","стро'ит","10","10","fem","о'ит"
"упреки","упрё'ки","01'0","01'0","other","ё'ки"
"суета","суета'","001","1","masc","та'"
"одних","одни'х","01","1","masc","и'х"
"мгновенье","мгнове'нье","010","10","fem","е'нье"
"перстами","перста'ми","010","10","fem","а'ми"
"струнам","стру'нам","10","10","fem","у'нам"
"милой","ми'лой","10","10","fem","и'лой"
"пропоет","пропоё'т","001'","001'","other","ё'т"
"тратит","тра'тит","10","10","fem","а'тит"
"другою","друго'ю","010","10","fem","о'ю"
"бессарабской","бессара'бской","0010","10","fem","а'бской"
"взор","взо'р","1","1","masc","о'р"
"дитя","дитя'","01","1","masc","тя'"
"рабыне","рабы'не","010","10","fem","ы'не"
"отвечать","отвеча'ть","001","1","masc","а'ть"
"готов","гото'в","01","1","masc","о'в"
"сном","сно'м","1","1","masc","о'м"
"скал","ска'л","1","1","masc","а'л"
"врагов","враго'в","01","1","masc","о'в"
"мглы","мглы'","1","1","masc","лы'"
"ипокреной","ипокрено'й","0001","1","masc","о'й"
"мне","мне'","1","1","masc","не'"
"братец","бра'тец","10","10","fem","а'тец"
"забора","забо'ра","010","10","fem","о'ра"
"привиденьем","приви'деньем","0100","100","dactylic","и'деньем"
"грехи","грехи'","01","1","masc","хи'"
"сребристых","сребри'стых","010","10","fem","и'стых"
"грядет","грядё'т","01'","01'","other","ё'т"
"смешались","смеша'лись","010","10","fem","а'лись"
"глубоком","глубо'ком","010","10","fem","о'ком"
"преклонил","преклони'л","001","1","masc","и'л"
"дремала","дрема'ла","010","10","fem","а'ла"
"облокотясь","облокотя'сь","0001","1","masc","я'сь"
"клубились","клуби'лись","010","10","fem","и'лись"
"кристаль","криста'ль","01","1","masc","а'ль"
"покровенным","покро'венным","0100","100","dactylic","о'венным"
"восходил","восходи'л","001","1","masc","и'л"
"мелькали","мелька'ли","010","10","fem","а'ли"
"пучине","пучи'не","010","10","fem","и'не"
"лиет","ли'ет","10","10","fem","и'ет"
"стрелы","стрелы'","01","1","masc","лы'"
"ад","а'д","1","1","masc","а'д"
"воображенья","воображе'нья","00010","10","fem","е'нья"
"измеряешь","измеря'ешь","0010","10","fem","я'ешь"
"всего","всего'","01","1","masc","го'"
"награждаешь","награжда'ешь","0010","10","fem","а'ешь"
"мал","ма'л","1","1","masc","а'л"
"может","мо'жет","10","10","fem","о'жет"
"прельщает","прельща'ет","010","10","fem","а'ет"
"карать","кара'ть","01","1","masc","а'ть"
"упоенный","упое'нный","0010","10","fem","е'нный"
"упасть","упа'сть","01","1","masc","а'сть"
"мечтанье","мечта'нье","010","10","fem","а'нье"
"мгновенным","мгнове'нным","010","10","fem","е'нным"
"мечтой","мечто'й","01","1","masc","о'й"
"ослепленья","ослепле'нья","0010","10","fem","е'нья"
"яры","я'ры","10","10","fem","я'ры"
"тебя","тебя'","01","1","masc","бя'"
"тобою","тобо'ю","010","10","fem","о'ю"
"преклонять","преклоня'ть","001","1","masc","я'ть"
"смешенье","смеше'нье","010","10","fem","е'нье"
"страстей","страсте'й","01","1","masc","е'й"
