id	signature	author	title	first_line	year	razmer	source_type	text_raw	text_lem	corpus
rp	Асконченский, В.	Асконченский, В.	Русская песня	Не ходи ко мне	1843	Пс	periodical	"Не ходи ко мне
Поздно вечером:
Не гуляй, мой друг,
Под окошечком.
У ворот сидит
Старый вотчим мой,
Под окном бродит
Лютый недруг твой.
Они в лад пошли
Против нас с тобой,
Перемолвились
С старым вотчимом.
Он давно за мной —
Лютый недруг твой —
Увивается,
Словно коршун злой.
Очи карие
Так и светятся,
Будто волк лихой,
Он поводит их.
Усы рыжие
С частой проседью
То опустятся,
То щетинятся,
Слово молвит он, —
Будто вой волков,
Приласкается, —
Сердце бедное
Так и взмечется,
Затрепещется.

Не ходи ко мне
Поздно вечером,
Не гуляй, мой друг,
Под окошечком.
На беду мою
Вы столкнетесь там, —
И беды тебе
Не избыть тогда.
Он на все горазд —
Лютый недруг твой: —
Не возьмет тебя,
Не одюжеет, —
Топором снесет
С плеч головушку
Молодецкую.
Он вчера — злодей,
Будто из-проста,
Речь повел ко мне
Обиняками
О тебе, мой друг
Мое солнышко.
По усам его
По щетинистым
Пробегал змеей
Смех не радостный.
А глаза его,
Глаза карие —
Все моргали мне
Страхом — ужастью.
Руки крепкие,
Загорелые,
В кулаки при мне
Он сжимал — злодей.

Но не думай ты,
Не кручинься ты,
Ясный сокол мой,
Ненаглядный мой.
Не осилят меня
Мои недруги,
Не принудят меня
Обездолить тебя.
Не боюсь я их,
Посмеюся я им
И на зло им всем
Таки буду твоя!
"	не ходить ко я поздно вечер не гулять мой друг под окошечко у ворота сидеть старый вотчим мой под окно бродить лютый недруг твой они в лад пойти против мы с ты перемолвиться с старый вотчим он давно за я лютый недруг твой увиваться словно коршун злой око карий так и светиться будто волк лихой он поводить они ус рыжий с частый проседь то опускаться то щетиниться слово молвить он будто вой волк приласкаться сердце бедный так и взметываться затрепетаться не ходить ко я поздно вечер не гулять мой друг под окошечко на беда мой вы сталкиваться там и беда ты не избывать тогда он на весь горазд лютый недруг твой не взять ты не одюжеть топор снести с плечо головушка молодецкий он вчера злодей будто из простой речь поводить ко я обиняк о ты мой друг мой солнышко по ус он по щетинистый пробегать змея смех не радостный а глаз он глаз карий весь моргать я страх ужастью рука крепкий загорелый в кулак при я он сжимать злодей но не думать ты не кручиниться ты ясный сокол мой ненаглядный мой не осиливать я мой недруг не принуждать я обездоливать ты не бояться я они посмеюся я он и на зло он весь таки быть твой	rus_song
rp	Б/П	Б/П	NA	Где ты звездочка	1828	Пс	periodical	"Где ты звездочка?
Где ты ясная?
Иль затмилася
Тучей мрачною?
Где ты девица,
Где ты красная?
Иль покинула
Друга милого?
И я с горести,
С лютой тоски
Пойду во поле
В поле чистое,
Не увижу ли
Ясной звездочки?
Я не встречу ли
Красной девицы?
Туча черная
Скрыла звездочку,
Земля хладная
Взяла девицу!
"	где ты звездочка где ты ясный иль затмилася туча мрачный где ты девица где ты красный иль покидать друг милый и я с горесть с лютый тоска пойти во поле в поле чистый не увидеть ли ясный звездочка я не встреча ли красный девица туча черный скрывать звездочка земля хладный взять девица	rus_song
rp	Бахтурин, К.А.	Бахтурин, К.А.	Песнь ямщика	Аль опять не видать	1840	Ан1м + Х3ж	periodical	"         Аль опять
         Не видать
Прежней красной доли?
      Я душой
      Сам не свой,
Сохну как в неволе.

      А бывал
      Я удал!
С ухарскою тройкой
      Понесусь
      И зальюсь
Песенкою бойкой!

      Не кнутом,
      Поведем
Только рукавицей -
      И по пням,
      По холмам
Мчат лошадки птицей!

      Ни с слезой,
      Ни с тоской
Молодец не знался, -
      Попевал
      Да гулял...
Вот - и догулялся!

      Уж дугу
      Не смогу
Перегнуть как надо;
      Вожжи врозь,
      Ну хоть брось!
Экая досада!

      Ночью, днем
      Об одном
Тяжко помышляю,
      Всё по ней,
      По моей
Лапушке страдаю!..

      Аль опять
      Не видать
Прежней красной доли?
      Я душой
      Сам не свой,
Сохну, как в неволе.
"	аль опять не видать прежний красный доля я душа сам не свой сохнуть как в неволя а бывать я удалой с ухарский тройка понестись и заливаться песенка бойкий не кнут поводить только рукавица и по пень по холм мчать лошадка птица ни с слеза ни с тоска молодец не знаться попевать да гулять вот и догуляться уж дуга не смочь перегибать как надо вожжа врозь ну хоть бросать экий досада ночь день об один тяжко помышлять весь по она по мой лапушка страдать аль опять не видать прежний красный доля я душа сам не свой сохнуть как в неволя	rus_song
rp	Бушмакин, Н.	Бушмакин, Н.	Песня	Голубочек, что воркуешь	1827	Х4мж	periodical	"Голубочек, что воркуешь
Над светлицею моей?
Верно, верно ты горюешь
О подруженьке своей?

Без подруженьки кручина,
Голубь, сведалась с тобой.
И моя сходна судьбина
С лютою твоей судьбой.

Жить мне грустно сиротою,
Нет сердечного дружка!
Разлучен со мной войною
Нет вестей издалека!

Я… одна! Ах, не чуждайся,
Голубок, хоть ты меня!
Сядь на грудь мне, не пугайся,
Ты несчастлив как и я.
"	голубочек что ворковать над светлица мой верно верно ты горевать о подруженька свой без подруженька кручина голубь сведаться с ты и мой сходный судьбина с лютый твой судьба жить я грустно сирота нет сердечный дружка разлучать со я война нет весть издалека я один ах не чуждаться голубок хоть ты я садиться на грудь я не пугаться ты несчастливый как и я	rus_song
rp	Башмаков, И.И. (без подписи публ.???)	Башмаков, И.И. (без подписи публ.???)	Песня	Высыпайте, снега белые	1840	Ан2д	periodical	"Высыпайте, снега белые,
Замерзай ты, Волга матушка,
Ты, стелися путь дороженька
Гладкой скатертью камчатною!
По тебе ль, по дороженьке
Пронесется без устали,
Что не дикий, рогатый тур,
Не олень ноги быстрые,
Но стрелою пернатою,
Пронесется ретивый конь,
Вороной конь, с заметною, —
В гриве с алою лентою,
Что седло то черкасское,
А узда шамаханская,
Стремена золоченые,
На коне добрый молодец,
Он сидит не шелохнется,
Смотрит в даль, не оглянется,
На нем шапка бобровая,
А сапожки сафьянные,
А кафтан шитый золотом!
Ты метель, непогодушка,
Ты не тми степь широкую!
Не бушуй, ветер на поле, —
Добра молодца сокола
На пути не задерживай!
Не покинь его солнышко,
Ты свети ему, красное,
Днем – с утра и до вечера!
Месяц ясный, родимый мой,
Провожай ночью темною, —
Чтоб не сбиться с дороженьки
Вороному коню его!
Что ведь этот ли молодец
Держит путь в нашу сторону —
Это давний желанный гость —
Он мой суженый, ряженый!
Высыпайте, снега белые,
Замерзай ты, Волга матушка,
Ты, стелися путь дороженька
Гладкой скатертью камчатною!
"	высыпать снег белый замерзать ты волга матушка ты стелисить путь дороженька гладкий скатерть камчатный по ты ль по дороженька пронестись без уставать что не дикий рогатый тур не олень нога быстрый но стрела пернатый пронестись ретивый конь ворона конь с заметный в грива с алый лента что седло то черкасский а узда шамаханский стремя золоченый на конь добрый молодец он сидеть не шелохнуться смотреть в даль не оглянуться на он шапка бобровый а сапожок сафьянный а кафтан шитый золото ты метель непогодушка ты не тмить степь широкий не бушевать ветер на поле добро молодец сокол на путь не задерживать не покидать он солнышко ты светить он красный день с утро и до вечер месяц ясный родимый мой провожать ночь темный чтоб не сбиваться с дороженька вороной конь он что ведь этот ли молодец держать путь в наш сторона это давний желанный гость он мой суженый ряженый высыпать снег белый замерзать ты волга матушка ты стелисить путь дороженька гладкий скатерть камчатный	rus_song
rp	Берг, Н.	Берг, Н.	Русская песня	Уж ты слышишь ли	1847	Пс	periodical	"Уж ты слышишь ли,
Красна девица?
Уж ты слышишь ли?
Разумеешь ли?

Горько, горько мне,
Тяжко на сердце!
Так и хочется
Душу высказать,
Душу высказать,
Горе выплакать!

Где ты, милая,
Мой сердечный друг?
Что беде тоске
Не откликнешься?

Да ты знаешь ли
Про печаль мою,
Про печаль мою,
Долю горькую?

Да ты слышишь ли,
Как я плачу здесь,
В четырех стенах
Одинешенек?

Как в груди моей
Сердце бедное
Стонет жалостно,
Разрывается?

Ах, душа моя!
Для чего ж это
Разлучили нас,
Врозь раскинули?

Для чего ж это
Вовсе не дали
На тебя, мой друг,
Наглядеться мне?

А ведь счастье-то,
Было подле нас!
Недалеко ведь
Солнце светило!

Расскажи ка мне,
Расскажи мне все,
Несравненная,
Незабвенная:

Где ты, где теперь?
Далеко ли ты?
Друга помнишь ли?
Также любишь ли?

Расскажи ка мне,
Что ты делаешь?
И о чем теперь
Думу думаешь?

Ты признайся мне,
Что, неужли был,
Кто любил тебя,
Так, как я любил?

Тяжело мне, друг,
Тяжело теперь,
Одинокому,
Горемычному!

Ноет, выныло
Ретивое все,
И сосет-скребет,
И болит-щемит.

Так раздайся ж ты,
Песня громкая!
И рекою слез
Ты теки, беги!

Зарыдай, заплачь
Горько, жалобно!
Может, будет мне
Легче на сердце!
"	уж ты слышать ли красный девица уж ты слышать ли разуметь ли горько горько я тяжко на сердце так и хотеться душа высказывать душа высказывать горе выплакивать где ты милый мой сердечный друг что беда тоска не откликаться да ты знать ли про печаль мой про печаль мой доля горький да ты слышать ли как я плакать здесь в четыре стена одинешенек как в грудь мой сердце бедный стонать жалостно разрываться ах душа мой для что ж это разлучать мы врозь раскидывать для что ж это вовсе не давать на ты мой друг наглядеться я а ведь счастие то быть подле мы недалеко ведь солнце светило рассказывать ка я рассказывать я весь несравненный незабвенный где ты где теперь далеко ли ты друг помнить ли также любить ли рассказывать ка я что ты делать и о чем теперь дума думать ты признаваться я что неужли быть кто любить ты так как я любить тяжело я друг тяжело теперь одинокий горемычный ныть выныло ретивое весь и сосать скрести и болеть щемить так раздаваться ж ты песня громкий и река слеза ты течь бежать зарыдать заплакать горько жалобно мочь будет я легко на сердце	rus_song
rp	Бернет, Е.	Бернет, Е.	Скорбь Елены-молдаванки	Я сегодня в огороде	1837	Х43ж	periodical	"Я сегодня в огороде
Все утро ходила,
Все цветочки на свободе
Слез росой обмыла,
Я шептала: расцветите
Благовонней, краше,
Уж не долго мне, Елене,
Вами любоваться
Ныне в полдень я сорву вас,
Повяжу в гирлянды
И сплету венок для друга,
Грустный, похоронный!
От людей цветами скрою
Гибельную язву,
След Турецкой, меткой пули
На челе высоком!
Положу я незабудки
И вздохнув, промолвлю:
Никогда тебя Елена,
Друг мой, не забудет!
Нежную вплету фиалку
И скажу, заплакав:
Как цвела фиалка эта
Под могучим дубом,
Так покоилась Елена
Под твоей защитой.
Нет у ней друзей, ни кровных,
Ни отца, ни брата.
Ты один был покровитель,
И тебя не стало!
Положу я придорожник
С темными листами,
Прошепчу: мой друг отходит
В дальную дорогу…
Он собрался без прощанья,
Отбыл без возврата,
Для чего ж меня с собою,
Бедную, он не взял!
Усыпляющий цвет мака
Заплетая, молвлю:
И без мака спит мой милый
Сном непробудимым
Спит он крепко, не услышит
Голоса подруги,
Что над ним голубкой сирой
Бьется и стенает!
На грудь положу я розу
И, вздохнув, промолвлю:
Так спала на верном сердце
Некогда Елена
Для чего ж цветок холодный
Место девы занял?
Для чего мне заказали
С другом лечь в могилу?
Но скорей, чем цвет душистый
Под землей увянет,
В свете — бедной, горемычной
Елены не станет
"	я сегодня в огород весь утро ходить весь цветочек на свобода слеза роса обмывать я шептать расцветать благовонный красивый уж не долго я елена вы любоваться ныне в полдень я сорвать вы повязывать в гирлянда и сплетать венок для друг грустный похоронный от человек цветок скрывать гибельный язва след турецкий меткий пуля на чело высокий полагать я незабудка и вздыхать промолвить никогда ты елена друг мой не забывать нежный вплетать фиалка и сказать заплакать как цвести фиалка этот под могучий дуб так покоиться елена под твой защита нет у она друг ни кровный ни отец ни брат ты один быть покровитель и ты не становиться полагать я придорожник с темный лист прошептать мой друг отходить в дальный дорога он собираться без прощание отбывать без возврат для что ж я с себя бедный он не взять усыпляющий цвет мак заплетать молвить и без мак спать мой милый сон непробудимый спать он крепко не услышать голос подруга что над он голубка сирый биться и стенать на грудь полагать я роза и вздыхать промолвить так спать на верный сердце некогда елена для что ж цветок холодный место дева занимать для что я заказывать с другой ложиться в могила но скоро чем цвет душистый под земля увянуть в свет бедный горемычный елена не становиться	rus_song
rp	Баратынский	Баратынский	Русская песня	Страшно воет завывает	1821	Х42ж	periodical	"Страшно воет, завывает
Ветр осенний;
По поднебесью далече
Тучи гонит.

На часах стоит печален
Юный ратник;
Он уносится за ними
Грустной думой.

О, куда, куда вас, тучи,
Ветер гонит?
О, куда ведет судьбина
Горемыку?

Тошно жить мне: мать родную
Я покинул!
Тошно жить мне: с милой сердцу
Я расстался!

""Не грусти! - душа-девица
Мне сказала. -
За тебя молиться будет
Друг твой верный"".

Что в молитвах? я в чужбине
Дни скончаю.
Возвращусь ли? взор твой друга
Не признает.

Не видать в лицо мне счастья;
Жить на что мне?
Дай приют, земля сырая,
Расступися!

Он поет, никто не слышит
Слов печальных...
Их разносит, заглушает
Ветер бурный.
"	страшно выть завывать ветер осенний по поднебесье далече туча гнать на часы стоять печальный юный ратник он уноситься за они грустный дума о куда куда вы туча ветер гнать о куда вести судьбина горемыка тошно жить я мать родной я покидать тошно жить я с милый сердце я расставаться не грусть душа девица я сказать за ты молиться будет друг твой верный что в молитва я в чужбина день скончать возвращаться ли взор твой друг не признавать не видать в лицо я счастие жить на что я давать приют земля сырой расступися он петь никто не слышать слово печальный они разносить заглушать ветер бурный	rus_song
rp	Бубнов, Г.П.	Бубнов, Г.П.	Сельская песня	Ненаглядное красно солнышко	1830	Пс	periodical	"Ненаглядное
Красно солнышко,
Ты Аленушка
Сердцу милая!

Красота твоя
Ненаглядная,
И твоя коса
Темнорусая!

Глазки черненьки
Губки алые,
Ненаглядные
Ручки беленьки!

Дочь крестьянская,
Сельска девушка,
Не дворянская,
Ты Аленушка.

У крестьянина
Ты родилася,
Не у барина
Воспиталася.

Жалко, милая,
Что не барская,
А крестьянская
Ты красавица.

Сердцу милая
Красна девушка,
Распрелестная
Ты, Аленушка.
"	ненаглядный красный солнышко ты аленушка сердце милый красота твой ненаглядный и твой коса темнорусый глазок черненек губка алый ненаглядный ручка беленек дочь крестьянский сельск девушка не дворянский ты аленушка у крестьянин ты родилася не у барин воспиталася жалко милый что не барский а крестьянский ты красавица сердце милый красный девушка распрелестный ты аленушка	rus_song
rp	Бушмакин, Н.	Бушмакин, Н.	Песня	Не труби труба	1826	Ан2д	periodical	"Не труби, труба,
Жалостно
Протруби, труба
Радостно:

Ты краса ль моя
Девица,
Ты завей косу
Русую,
Перевей ее
Лентою.
Не лобзать тебе
Буйный ветр,

Не лобзать косы
Русыя,
Не взвивать ее
В воздухе

Как достанется
Русая,
Что сердечному,
Милому.

Ты, тоска ль моя
Лютая,
Из груди лети
Соколом.

Не сзнакомлюсь я
С грустию,
Не спознаюся
С тяжкою.

Проведу я дни
С радостью.
Проведу я их
С миленьким.
"	не трубить труба жалостно протрубить труба радостно ты краса ль мой девица ты завивать коса русый перевивать она лента не лобзать ты буйный ветер не лобзать коса русый не взвивать она в воздух как доставаться русый что сердечный милый ты тоска ль мой лютый из грудь лететь сокол не сзнакомиться я с грустие не спознаюся с тяжкий проводить я день с радость проводить я они с миленький	rus_song
