,Unnamed: 0,id,id_st,text,meter
20,21,P_1003,P_1003_4,"Лучь живительной денницы
И в черве, в его темнице,
Жизнь прекрасную зажег.
Час настал преображенья,
И из мрака заточенья
Вышел светлый мотылек !
Цветом радуги сверкая ,
Пышно крылья развернул ,
Встрепенулся и порхнул ,
В синем воздухе играя!...
Как оторванный цветок ,
Он несется над лугами.
Он кружится над водами
И прелестен и легок!...",choreios
21,22,P_1004,P_1004_1,"В пустыне виден людный град:
Там деется мена и купля ;
Шумит на торжище толпа.
Вот длинной шеей помавает
Верблюд — живой корабль пустынь —
И роет землю конь игривый
Под статным, смуглым седоком,
И с перелетным ветерком
Играют космы черной гривы;
Надулись ноздри, и в очах
Горит какой-то пламень дикой ;
И тут же, смирная, стоит
Ослов навьюченных станица.
Пленяют ткани пестротой;
Цвета любимые в пустыни —
Багряный, ярко-желтый, синий ,
В издельях радужных горят;
Купцы их ценность выхваляют;
И веет тонкий аромат
От мирры, амбры и алоя.
Купцы Османские купцам
Саввейским продают бальзам,
Мюскат и ладан благовонный ;
И все шумит; везде расчет ;
Град полон жизни...",iambos
22,23,P_1005,P_1005_1,"Нет, это не старик, кто жизнь свою годами,
Как верным циркулем, размерил и сказал:
""Я прожил столько-то!"" Кого и сединами
Полет столетия роскошно увенчал,
И тот не говори: ""я старец между вами,
Я тайну бытия прозрел и разгадал.""
О, нет! младенец он: он в лоно колыбели
Из чрева матери беспечно перелег ;
Его баюкая, над ним года летели ;
Младенцем он войдет и к Вышнему в чертог.
Но тот, кто счет годам утратил в треволненья,
Но тот, кто позабыл, где первая ступень,
Ведущая в сои мир, где первый этот день ,
Когда впервые он улыбкой умиленья
Не ласку повстречал приветную судьбы,
Но взор мучительный упрека и презренья,
Залог грядущих бурь и тягостной борьбы ;
Кто обнял этот мир в борении неравном ,
Прижал к груди его, не так как брата брат,
Но как слабейший враг с желаньем своенравным
Погибнуть, не ступив и пядени назад ;
Кто знает, разгадал, и взвесил и измерил
Всю силу мощного, гигантского врага,
Но чья дрожащая, уж слабая нога
Еще противится... о ! для того нет мерил,
Которыми бы мог он век свой разделить
На годы младости и старческие лета.
Вся жизнь его, весь век одна и та же нить:
Он старец в юности... и у него совета
Идите вы просить; он вечность пережил,
Он опыт старости страданием купил.",iambos
23,24,P_1006,P_1006_1,"И распростясь с тревогою житейской 
И кипарисной рощей заслонясь -- 
Блаженной тенью, тенью элисейской 
Она заснула в добрый час.",iambos
24,25,P_1006,P_1006_2,"И вот уж века два тому иль боле, 
Волшебною мечтой ограждена, 
В своей цветущей опочив юдоле, 
На волю неба предалась она.",iambos
25,26,P_1006,P_1006_3,"Но небо здесь к земле так благосклонно! 
И много лет и теплых южных зим 
Провеяло над нею полусонно, 
Не тронувши ее крылом своим.",iambos
26,27,P_1006,P_1006_4,"По-прежнему в углу фонтан лепечет, 
Под потолком гуляет ветерок, 
И ласточка влетает и щебечет -  
И спит она... и сон ее глубок!",iambos
27,28,P_1006,P_1006_5,"И мы вошли... Всё было так спокойно! 
Так всё от века мирно и темно! 
Фонтан журчал; недвижимо и стройно 
Соседний кипарис глядел в окно.",iambos
28,29,P_1006,P_1006_6,"Вдруг всё смутилось: судорожный трепет 
По ветвям кипарисным пробежал; 
Фонтан замолк -- и некий чудный лепет, 
Как бы сквозь сон, невнятно прошептал.",iambos
29,30,P_1006,P_1006_7,"Что это, друг? Иль злая жизнь недаром, 
Та жизнь, увы! что в нас тогда текла, 
Та злая жизнь, с ее мятежным жаром, 
Через порог заветный перешла?",iambos
30,31,P_1007,P_1007_1,"Надежда будущих времен ,
Наследник первой власти мира ,
Чья всемогущая порфира
Покроет тысячи племен —
Чтоб с Русской свыкнуться землею
Знакомиться Ты едешь с нею ;
Ты хочешь видеть, слышать, знать
Дух, нужды, средства, силы края,
Как друг к нам руку простирая
Сердца заране оковать.",iambos
31,32,P_1007,P_1007_2,"С дней прадедовских хлебосолы,
Чем Гостя примем, подивим?
Однообразны наши долы;
Конь, бык, овца лишь сродны им ;
С одним Днепром , морей далеки —
Судам безвестны наши реки;
Богаты, бедны вместе мы;
Подчас вздыхаем от обилья,
А после.... Где ж златые крылья
Возьмут промышленны умы?",iambos
32,33,P_1007,P_1007_3,"В усердьи радости послушной,
Мы принесли все, что могли;
Приди , взгляни великодушно
На плод труда, на плод земли ,
Попыток и начаток сборы...
К дарам искусств привыкши взоры
Не нам рассеять, знаю я;
Но есть одно, есть холм Полтавы — 
Первоначальник Русской славы...
Туда, наш Гость, зовем Тебя!",iambos
33,34,P_1007,P_1007_4,"Взойди—с него далеко видно
Сквозь прошлого туман седой:
Кагульских Турок бег постыдной,
И Фридериков грозный бой ;
Войны кровавою задачей ,
С нагайкой, вот старик на кляче ,
К победам скачет от побед;
А там, под Дяди знаменами,
Народы двинулись с Царями — 
И отдохнул свободный свет.",iambos
34,35,P_1007,P_1007_5,"И дале, то же все родное,
Все близкое, Балкан, Эвфрат,
И Галл в насильственном покое,
И вновь наказанный Сармат!...
И всех чудес сих здесь начало!...
Здесь сердце Русское узнало
Впервые тайну кровных сил;
И где предел разлив их встретит?
Златой ли Ганг Твой меч осветит ,
Иль обуздает дерзкий Нил ?",iambos
35,36,P_1007,P_1007_6,"Но в-сторону походы: лира
Успеет им хвалу бряцать;
Наследье дивное — треть мира —
Орел, лети обозревать.
Красы природы грозной, дикой,
Ума и света труд великой
В нем слиты, ждут Монарших глаз ;
В десятки лет века прошли мы ;
Но многия весны и зимы
Еще найдут в дороге нас.",iambos
36,37,P_1007,P_1007_7,"Вперед — и смело за звездою
Прабабки, Дяди и Отца:
Петровой зажжена рукою
Она у славного конца;
Горит одна, светло, высоко;
С трудом ее завидит око;
Но Ты, и Сын и Внук Царей,
Широким взмахом крыльев мощных
Над вьюгами небес полнощных ,
Ты гордо поплывешь за ней!",iambos
37,38,P_1007,P_1007_8,"Россия исполнять готова;
Люби лишь верный Свой народ.
Смотри, как от Царева слова
Шагает он из года в год ;
Изделий чужеземных диво
Москва усвоила счастливо;
Кавказ вьет шелк; есть шерсть давно ;
Крым, Эривань ростят оливы;
Скалы Кахета горделивы
На-зло Бордо цедят вино.",iambos
38,39,P_1007,P_1007_9,"И за Уралом страны, царства,
Дар буйной сабли Ермака,
Где сыплют и таят богатства
И глубь земли и зыбь песка ;
Тоболь, стократ благословенный,
Природой щедро наделенный,
Украина Сибири: дай
Ей руки — и поля пустые
Покроют нивы золотые,
И закипит торговлей край.",iambos
39,40,P_1007,P_1007_10,"Довольно !. .. Мысли откровенной
И сельской простоте души
Порывы лиры восхищенной ,
О Гость Высокий, припиши!
Так пел я — от того что пелось;
Мне больше бы сказать хотелось...
Но пусть стоустая молва
Доканчивает гимн поэта,
И повторяют плески света
Усердья робкого слова!",iambos
40,41,P_1008,P_1008_1,"Тебе ль чугун, тебе ли мрамор ставить,
Сусанин, верный сын, честь родины своей?
Тебя ли можем мы прославить?
Деяньем рук и грудами камней?
Чугун растопится; полудня мрамор белый
Раздробят долгие морозы Русских зим.
Есть памятник иной: он тверд, несокрушим,
Он силен и велик, как ты, Сусанин смелый!
Сей вечный памятник давно сооружен
В сердцах признательных потомков:
Во дни крамол и смут, из пепла, из обломков
С Россией новою восстал как феникс он, 
И с ней цветет поднесь, могучий и спокойный - 
Да!.. благоденствие и слава Россиян,
Да!.. громкие хвалы позднейших сограждан,
Вот памятник, Сусанина достойный!",iambos
41,42,P_1009,P_1009_1,"И вот ее прекрасное чело,
Угасшее под бременем страданий!
Как много некогда моих на нем лобзаний
С лилеямн и розами легло !",iambos
42,43,P_1009,P_1009_2,"Теперь уж ей ненужны розы —
И я с лобзаньем вместо роз
Ей слезы бедные принес.
Но говорят, страдальческия слезы
Усопшую печалят. О, зачем!..
Но я покорен, я совсем
Уже не плачу, нет, не плачу,
Напрасных жалоб я не трачу,
И даже для печали нем,
Я даже с тихою улыбкой
Гляжу на гроб и не рошцу:
Но вот слеза... о нет, ошибкой,
Я так... ошибкою грущу!",iambos
43,44,P_101,P_101_1,"Скажи мне, витязь, что твой лик,
Весною дней, темнее ночи?
Ты вне себя! главой поник !
Твои тревожно блещут очи !
Твой пылкий дух мрачит тоска....
Откуда ты? издалека?",iambos
44,45,P_101,P_101_2,"О, вижу я! Младая кровь
Кипит, волнуема отравой.
Крушить ли тайная любовь?
Вражда ль изменою лукавой?
Черна бедами жизнь твоя !
Кто твой злодей? — ""Злодей мой....я!"" —
И дико витязь кинул взор
На тьмой покрытую долину :
Мятежной совести укор
Стеснял душу его кручиной;
Он изумлялся: мнилось, он
КакоЙ-то видит грозный сон.",iambos
45,46,P_101,P_101_3,"И вдруг он молвил: ""В небесах
Страшнее волн клубятся тучи,
И с мертвецами в облаках
Ужасно воет вихрь летучий:
Как сердце с язвою любви,
Взгляни , меж них луна в крови!",iambos
46,47,P_101,P_101_4,"И буря носит дальний звон,
И веет мне напев унылой.
Склонись к траве: подземный стон
Увы, не заглушен могилой !
И тень ее во мгле ночной
Летит под белой пеленой.",iambos
47,48,P_101,P_101_5,"О Вамба, ты была моей!
Цвела в любви, краса младая!
Но буйный пыл, но яд страстей ,
Но жизни тайна роковая,
Ревнивый мой, безумный жар,
Свершили пагубный удар.",iambos
48,49,P_101,P_101_6,"И с ней не разлучаюсь я.
Недавно мчался я горою,
Где замок, колыбель моя,
С своей зубчатою стеною....
Он освещен; она в окне;
Она....рукой манила мне !",iambos
49,50,P_101,P_101_7,"Вчера я, грешный, в Божий храм
Вошел: ищу в тоске отрады,
И, близ иконы, вижу там
При тусклом зареве лампады, —
Она, колена преклони,
Стоит и молит за меня !",iambos
50,51,P_101,P_101_8,"Горит война в Святых Местах:
Хочу не славы, — покаянья!....
И с ней в истленных небесах
Хочу последнего свиданья!
Она простит......"" И свой кинжал
К устам ои в бешенстве прожал.",iambos
51,52,P_101,P_101_9,"Он шлем надел. Схватил он щит;
На борзого коня садится;
И чудный взор к звездам стремит,
И вдаль на бой кровавый мчится.
Но с бою из Земли Святой
Не возвратился в край родной!",iambos
52,53,P_1010,P_1010_1,"Смотри, как запад разгорелся 
Вечерним заревом лучей, 
Восток померкнувший оделся 
Холодной, сизой чешуей! 
В вражде ль они между собою? 
Иль солнце не одно для них 
И, неподвижною средою 
Деля, не съединяет их?",iambos
53,54,P_1011,P_1011_1,"Я в Мае утром рано встала,
К окну в раздумье подошла:
Передо мной вдали пылала
Заря пленительно-светла;
Вокруг все чудно оживало — 
И ароматная весна
Мне легкой свежестью дышала
Из растворенного окна.",iambos
54,55,P_1011,P_1011_2,"Еше безмолвия дубравы
Не пробудил тревожный день.
Я видела: от рощ кудрявых
Недвижимо лежала тень;
Ручей прозрачный и студеный ,
Навстречу утренним лучам,
Виясь долиною зеленой,
Бежал свободно по лугам.",iambos
55,56,P_1011,P_1011_3,"Он нитью тонко-серебристой
Вливался в озеро вдали,
Где воды пурпуром огнистым
Уже сверкали и цвели.
Мне так легко, так сладко было!
Душа носилася в мечтах —
И будто горний дух парила
Над миром в светлых облаках.",iambos
56,57,P_1011,P_1011_4,"Мне мнилось, с миром и дышала,
И красотой его жила,
И с лугом тем благоухала,
И вместе с той зарей цвела.
Как птичка, мысль моя вилася —
И все играло перед ней...
Внезапно песня раздалася
Пернатой узницы моей...",iambos
57,58,P_1011,P_1011_5,"""Как! и она свой плен забыла,
И утра блещущим красам
Свой гимн из клетки возносила,
Туда, к безбрежным небесам!""
Так усладительно, так чисто,
Так звонко песнь ее лилась!
Казалось, вслед за голосистой
Заря пышнее развилась.",iambos
58,59,P_1011,P_1011_6,"Я долго песни той внимала ,
Потом к певице подошла:
Мне жаль ее в неволе стало;
Я клетку тихо отперла.
Моя затворница вспорхнула
И очутилась в небесах.
Я вслед за ней туда взглянула:
Она легко вилась в кругах.",iambos
59,60,P_1011,P_1011_7,"Порхая, воздух рассекала,
Мелькала там и здесь опять — 
Как будто в миг один желала
Все небо вольная обнять — 
И вот к дубраве прилетела,
И скрывшись в мгле ее ветвей,
Мне песню громкую запела
О доле счастливой своей.",iambos
60,61,P_1012,P_1012_1,"В отдаленности глубокой
Жил когда-то Прометей ,
Жертва доблести высокой
И возвышенных страстей.
Он задумал мыслью смелой
Стать с богами наравне,
И задуманное дело
Развивалося и зрело
В тайной сердца глубине.
Полн надежды, полон страха,
Пережил он много дней,
Наконец создал из праха
Человека Прометей.
Создал диво, загляденье —
Члены чудно хороши;
Но в прекраснейшем творенье
Нет ни жизни, ни души.
И недолго тайны важной
Прометей не постигал:
Он душой своей отважной
Тотчас средство угадал,
И свой алчный дух насытил —
Дожил радостного дня:
У Зевеса он похитил
Искру тайного огня;
В то бесчувственное тело
Искру дивную вложил —
И в том теле закипело
Пламя жизни, пламя сил.
Но узнал Зевес могучий ,
Видел оком все своим —
И на землю грянул тучей
И перуном огневым.
Казнь жестокую державный
Похитителю изрек.
Чтоб смельчак изведал славный ,
Как могуч и силен рок:
Чтоб подобную заразу
Уничтожить на земле,
Приковал его к Кавказу —
К дикой сумрачной скале.
И велел Юпитер мудрый
Кровожадному орлу,
Чтобы каждый день, что утро,
Прилетал на ту скалу ,
Чтоб страдальца Прометея
Грудь терзал и разрывал ;
Сам же, злобой пламенея,
Силой тайною владея,
Все назавтра исцелял.
Долго длилось наказанье;
Но Зевеса строгий взор
У виновного созданья
Не читал в очах страданья,
А проклятья и укор.
Наконец явился смелый
И могучий полубог;
Разрушать богов пределы
Безнаказанно он мог;
Пред невиданною силой
Умолкал и сам Зевес —
И носился быстрокрылый
Буйной бурей Геркулес.
Вот однажды утомленный
Близ Кавказа он присел.
Рассветало. Озаренный
Солнцем, уж Казбек горел.
Вдруг виднеет Геркулесу,
Сквозь покровы легкой мглы,
Сквозь прозрачную завесу,
Вечный узник у скалы;
А когда туман поднялся,
В тучах по небу пошел —
От страдальца удалялся
Мощный в высоту орел.
К заключенному скорее
Геркулес направил путь;
Смотрит он — у Прометея
Вся истерзанная грудь:
Кровь из ран глубоких льется
По утесистой скале;
Но страдалец остается
С гордой думой на челе,
""Смертный! злую эту долю
Кто, скажи, тебе судил?""
— Мне за дерзостную волю
Так Зевес определил.
Пусть, что день, он муки множит,
Но в душе не уничтожит
Мысли: сам я богом был! —
Полюбился полубогу
Дерзкой юности ответ — 
И приставил с силой ногу
К сумрачной скале атлет;
Он тяжелой булавою
Мигом часть скалы отбил,
И могучею рукою
Узника освободил.
Прометея он избавил,
Но из всех оков одно
Он в знак памяти оставил
На руке его звено.
Память друга, но не бремя,
Прометей кольцо носил:
Перстень тот щадило время;
Перстень с пальца не сходил.",choreios
61,62,P_1012,P_1012_2,"Ныне ж кольцы — знак приязни...
Нет цены, но некрепки.
Кто в разлуке без боязни:
""Не скатилось бы с руки!""
И пока в груди Прекрасных
Бьются слабые сердца,
Не ищи в мечтах напрасных
Прометеева кольца!",anapaistos
62,63,P_1013,P_1013_1,"Есть два блаженные мгновенья ;
Поэт равно их свято чтит;
Одно—святое вдохновенье ,
Молитва сердца, умиленье,
Полет души и восторженье:
Тогда—тогда поэт молчит.",iambos
63,64,P_1013,P_1013_2,"Есть миг другой: потоки света,
Восторгов светлые ключи,
Волнуют грудь и жгут поэта,
Как Феба знойные лучи;
О, в этот миг поэт в тревоге,
Ему внимайте в этот миг:
Заговорит он вам о Боге,
И дивных вымыслах своих !",iambos
64,65,P_1013,P_1013_3,"Так пастырь душ колена клонит,
Подъяв главу и длань горе,
И вдохновен, безмолвно, молит
О свышнем мире и добре;
Потом , восстав, благовествует
Господне слово и дела —
И в храме Божием ликует,
Гремит из уст его хвала!",dolnik3
65,66,P_1014,P_1014_1,"Какая ночь! мороз трескучий;
На небе ни единой тучи ,
Как шитый полог, синий свод
Пестреет частыми звездами.
В домах все темно. У ворот
Затворы с тяжкими замками.
Везде покоится народ.
Утих и крик и шум торговый;
Лишь только лает страж дворовый
Да цепью звонкою гремит.",iambos
66,67,P_1014,P_1014_2,"И вся Москва спокойно спит,
Забыв волнение боязни;
А площадь в сумраке ночном
Стоит полна вчерашней казни;
Мучений свежий след кругом.",iambos
67,68,P_1014,P_1014_3,"Кто там? чей конь во весь опор
По грозной площади несется?
Чей свист, чей громкий разговор
Во мраке ночи раздается?
Кто сей? Кромешник удалой:
Спешить, летит он на свиданье.
В его груди кипит желанье;
Он говорить: ""мой конь лихой,
Мой верный конь! лети стрелой!
Скорей, скорей!"" Но конь ретивой
Вдруг размахнул плетеной гривой
И стал.",iambos
68,69,P_1014,P_1014_4,"Ездок суровой
Промчаться был готов:
Но борзый конь под плетью бьется,
Храпит, и фыркает, и рвется
Назад. ""Куда? мой конь лихой!
Чего боишься? что с тобой ?
Мой борзый конь, мой конь удалый! 
Несись, несись!""",iambos
69,70,P_1015,P_1015_1,"Глубокая вечность 
Огласилась словом. 
То слово: ""да будет!"" 
Ничто воплотилось 
В тьму ночи и свет; 
Могучие силы 
Сомкнуло в миры, 
И чудной, прекрасной 
Повеяло жизнью; 
Земля красовалась 
Роскошным эдемом... 
И дух воплощенный, 
Владетель земли, 
С челом вечно юным, 
Высоким и стройным, 
С ответом свободы 
И мысли во взоре, 
На светлое небо 
Как ангел глядел...",dolnik3
70,71,P_1015,P_1015_2,"Свобода души, 
Где ж рай твой веселый? 
Следы твои страшны, 
Отмечены кровью 
На пестрой странице 
Широкой земли; 
И лютое горе 
Ее залило -- 
Ту дивную землю, 
Бесславную землю.",dolnik3
71,72,P_1015,P_1015_3,"Но слово: ""да будет!"" 
То вечное слово -- 
Не мимо идет. 
В хаосе печали, 
В полуночном мраке 
Надземных судеб, 
Божественной мыслью 
На древе креста 
Сияет и светит 
Терновый венец...
И горькие слезы -- 
Раскаянья слезы, 
На бледных ланитах 
Земного царя 
Зажглись упованьем 
Высоким и светлым, 
И дух вдохновляет 
Мятежную душу; 
И сладко ей горе, 
Понятно ей горе -- 
Оно искупленье 
Прекрасного рая...",amphibrachys
72,73,P_1015,P_1015_4,"""Да будет!"" и было, 
И видим, и будет -- 
Всегда, без конца... 
Кто ж, Он, Всемогущий? 
И где обитает? ",amphibrachys
73,74,P_1015,P_1015_5,"Нет богу вопроса, 
Нет меры Ему...",amphibrachys
74,75,P_1016,P_1016_1,"Скажи, красавица жестокая моя,
Ужель всю жизнь свою ты обрекла бесстрастью?
Ужель, презрением полна к земному счастью,
Лишь к горней радости парит душа твоя?
Иль клятву ты дала - в борьбе тяжелой, вечной,
С очарованием, с надеждой, с чувством быть;
Не знать волшебных уз взаимности сердечной
И человеческой любовью не любить?
Из благочестия ты сердце молодое
Мгновенно обмануть могла своей мечтой:
Страшись, чтоб некогда раскаянье живое
Не уничтожило непрочный твой покой!",iambos
75,76,P_1016,P_1016_2,"Мой друг! мне жаль тебя: ты молода, прекрасна;
С душой чувствительной ты дышишь для любви.
Тебе ль во цвете лет, ошибкою ужасной
Проститься с счастием, погибнуть для земли?
Нет, верь: Бог милости не внял твоих молений
Не принял робкого обета твоего;
И жертвы тайные сокрытых слез, волнений
Противны благости вселюбящей Его.
Не Он ли создал нас, чтоб кротостью, терпеньем
Посланье Ангелов в быту земном свершить?
Не Он ли нам велел быть миру утешеньем,
Мужчине гордому путь трудный облегчить
И от житейских смут в нем сердце охранять?
Не Он ли одарил нас пламенной душою,
Нам сердце, чувство дал, явил в нас благодать,
И в ум нам дар вложил, как верой и мольбою
Отступников ума с святыней примирять?
Так, мы посредницы меж божеством и светом:
Нам цель - творить добро, нам велено... любить!
И женщина, любовь отвергнувши обетом,
Не вправе более сестрою нашей быть - 
Ей темный монастырь, ей жребий закелейный,
Ей гроб, но с думами, с тревогами, с тоской!
Ей горе! горе ей, коль образ чародейный
Под черным клобуком сдружен с ее мечтой,
Под черной мантией волнует ум младой!",iambos
