;inclued;Unnamed..0;path;author;created;formula;header;text_raw
11;да;2782;xix/baratynsky/br1-020;Е. А. Баратынский;1823;Х4жм;Лета : «Душ холодных упованье...»;"Душ холодных упованье, 
 Неприязненный ручей, 
 Чье докучное журчанье 
 Усыпляет Элизей! 
 Так! достоин ты укора: 
 Для чего в твоих водах 
 Погибает без разбора 
 Память горестей и благ? 
 Прочь с нещадным утешеньем! 
 Я минувшее люблю 
 И вовек утех забвеньем 
 Мук забвенья не куплю.


"
12;да;2783;xix/baratynsky/br1-021;Е. А. Баратынский;1820-1827;Я4ж,м;Ропот : «Он близок, близок день свиданья...»;"Он близок, близок день свиданья, 
 Тебя, мой друг, увижу я! 
 Скажи: восторгом ожиданья 
 Что ж не трепещет грудь моя? 
 Не мне роптать; но дни печали, 
 Быть может, поздно миновали: 
 С тоской на радость я гляжу, 
 Не для меня ее сиянье, 
 И я напрасно упованье 
 В больной душе моей бужу. 
 Судьбы ласкающей улыбкой 
 Я наслаждаюсь не вполне: 
 Всё мнится, счастлив я ошибкой 
 И не к лицу веселье мне.


"
13;да;2784;xix/baratynsky/br1-022;Е. А. Баратынский;1821;Я6м+Я4ж;Уныние : «Рассеевает грусть пиров веселый шум...»;"Рассеевает грусть пиров веселый шум. 
 Вчера, за чашей круговою, 
 Средь братьев полковых, в ней утопив свой ум, 
 Хотел воскреснуть я душою.


Туман полуночный на холмы возлегал; 
 Шатры над озером дремали, 
 Лишь мы не знали сна -- и пенистый бокал 
 С весельем буйным осушали.


Но что же? вне себя я тщетно жить хотел: 
 Вино и Вакха мы хвалили, 
 Но я безрадостно с друзьями радость пел: 
 Восторги их мне чужды были.


Того не приобресть, что сердцем не дано, 
 Рок злобный к нам ревниво злобен: 
 Одну печаль свою, уныние одно 
 Унылый чувствовать способен!


"
14;;2785;xix/baratynsky/br1-023;Е. А. Баратынский;1822-1827;Я5мж;Размолвка : «Мне о любви твердила ты шутя...»;"Мне о любви твердила ты шутя, 
 И холодно сознаться можешь в этом. 
 Я исцелен; нет, нет, я не дитя! 
 Прости, я сам теперь знаком со светом. 
 Кого жалеть? печальней доля чья? 
 Кто отягчен утратою прямою? 
 Легко решить: любимым не был я; 
 Ты, может быть, была любима мною.


"
15;да;2786;xix/baratynsky/br1-024;Е. А. Баратынский;1821;Я4ж+Я3м;Бдение : «Один, и пасмурный душою...»;"Один, и пасмурный душою, 
 Я пред окном сидел; 
 Свистела буря надо мною 
 И глухо дождь шумел.


Уж поздно было, ночь сгустилась; 
 Но сон бежал очей, 
 О дальном детстве пробудилась 
 Тоска в душе моей.


«Увижу ль вас, поля родные? 
 «Увижу ль вас, друзья? 
 «Губя печалью дни младые, 
 «Приметно вяну я!


«Дни пролетают, годы тоже; 
 «Меж тем беднеет свет! 
 «Давно ль покинул вас -- и что же? 
 «Двоих уж в мире нет!


«И мне назначена могила! 
 «Умру в чужой стране, 
 «Умру, и ветреная Лила 
 «Не вспомнит обо мне!»


Душа стеснилася тоскою; 
 Я грустно онемел, 
 Склонился на руку главою, 
 В окно не зря глядел.


Очнулся я; румян и светел 
 Уж новый день сиял, 
 И громкой песнью ранний петел 
 Мне утро возвещал.


"
16;да;2787;xix/baratynsky/br1-025;Е. А. Баратынский;1821;Я4ж,м;Разуверение : «Не искушай меня без нужды...»;"Не искушай меня без нужды 
 Возвратом нежности твоей: 
 Разочарованному чужды 
 Все обольщенья прежних дней! 
 Уж я не верю увереньям, 
 Уж я не верую в любовь, 
 И не могу предаться вновь 
 Раз изменившим сновиденьям! 
 Слепой тоски моей не множь, 
 Не заводи о прежнем слова, 
 И, друг заботливый, больнова 
 В его дремоте не тревожь! 
 Я сплю, мне сладко усыпленье; 
 Забудь бывалые мечты: 
 В душе моей одно волненье, 
 А не любовь пробудишь ты.


"
17;да;2788;xix/baratynsky/br1-026;Е. А. Баратынский;1823-1827;Я4ж,м;Падение листьев : «Желтел печально злак полей...»;"Желтел печально злак полей, 
 Брега взрывал источник мутной, 
 И голосистый соловей 
 Умолкнул в роще бесприютной. 
 На преждевременный конец 
 Суровым роком обреченный, 
 Прощался так младой певец 
 С дубравой сердцу драгоценной:


«Судьба исполнилась моя, 
 «Прости, убежище драгое! 
 «О прорицанье роковое 
 «Твой страшный голос помню я»: 
 -- Готовься, юноша несчастной! 
 Во мраке осени ненастной 
 Глубокий мрак тебе грозит; 
 Уж он зияет из Эрева, 
 Последний лист падет со древа, 
 Твой час последний прозвучит! 
 «И вяну я: лучи дневные 
 «Вседневно тягче для очей; 
 «Вы улетели, сны златые, 
 «Минутной юности моей! 
 «Покину всё, что сердцу мило. 
 «Уж мглою небо обложило, 
 «Уж поздних ветров слышен свист! 
 «Что медлить? время наступило: 
 «Вались, вались, поблекший лист! 
 «Судьбе противиться бессильный, 
 «Я жажду ночи гробовой, 
 «Вались, вались! мой холм могильный 
 «От грустной матери сокрой! 
 «Когда ж вечернею порою 
 «К нему пустынною тропою, 
 «Вдоль незабвенного ручья, 
 «Придет поплакать надо мною 
 «Подруга нежная моя: 
 «Твой легкий шорох к чуткой сени, 
 «На берегах Стигийских вод, 
 «Моей обрадованной тени 
 «Да возвестит ее приход!»


Сбылось! Увы! судьбины гнева 
 Покорством бедный не смягчил, 
 Последний лист упал со древа, 
 Последний час его пробил. 
 Близ рощи той его могила! 
 С кручиной тяжкою своей 
 К ней часто матерь приходила... 
 Не приходила дева к ней!


"
18;да;2789;xix/baratynsky/br1-028;Е. А. Баратынский;1820-1827;Я4ж+Я3м;Отъезд : «Прощай, отчизна непогоды...»;"Прощай, отчизна непогоды, 
 Печальная страна, 
 Где дочь любимая природы, 
 Безжизненна весна; 
 Где солнце нехотя сияет, 
 Где сосен вечный шум 
 И моря рев, и всё питает 
 Безумье мрачных дум; 
 Где, отлученный от отчизны 
 Враждебною судьбой, 
 Изнемогал без укоризны 
 Изгнанник молодой; 
 Где позабыт молвой гремучей, 
 Но всё душой пиит, 
 Своею музою летучей 
 Он не был позабыт! 
 Теперь, для сладкого свиданья 
 Спешу к стране родной; 
 В воображеньи край изгнанья 
 Последует за мной: 
 И камней мшистые громады, 
 И вид полей нагих, 
 И вековые водопады, 
 И шум угрюмый их! 
 Я вспомню с тайным сладострастьем 
 Пустынную страну, 
 Где я в размолвке с тихим счастьем 
 Провел мою весну, 
 Но где порою житель неба, 
 Наперекор судьбе, 
 Не изменил питомец Феба 
 Ни музам, ни себе


"
19;да;2790;xix/baratynsky/br1-0292;Е. А. Баратынский;1820-1821;Я4ж,м;Утешение: (Подражание Лафару) : «Свободу дав тоске моей...»;"Свободу дав тоске моей, 
 Уединенный, я недавно 
 О наслажденьях прежних дней 
 Жалел и плакал своенравно. 
 Всё обмануло, думал я, 
 Чем сердце пламенное жило, 
 Что восхищало, что томило, 
 Что было цветом бытия! 
 Наставлен истиной угрюмой, 
 Отныне с праздною душой, 
 Живых восторгов легкий рой 
 Я заменю холодной думой 
 И сердца мертвой тишиной! 
 Тогда с улыбкою коварной 
 Предстал внезапно Купидон. 
 О чем вздыхаешь, молвил он, 
 О чем грустишь, неблагодарной? 
 Забудь печальные мечты: 
 Я вечно юн и я с тобою! 
 Воскреснуть сердцем можешь ты; 
 Не веришь мне? взгляни на Хлою!


"
20;да;2791;xix/baratynsky/br1-030;Е. А. Баратынский;1822;Я5мж;Поцелуй : «Сей поцелуй, дарованный тобой...»;"Сей поцелуй, дарованный тобой, 
 Преследует мое воображенье: 
 И в шуме дня и в тишине ночной 
 Я чувствую его напечатленье! 
 Сойдет ли сон и взор сомкнет ли мой, 
 Мне снишься ты, мне снится наслажденье! 
 Обман исчез, нет счастья! и со мной 
 Одна любовь, одно изнеможенье.


"
21;да;2792;xix/baratynsky/br1-031;Е. А. Баратынский;1821;Я4ж,м;Элизийские поля : «Бежит неверное здоровье...»;"Бежит неверное здоровье, 
 И каждый час готовлюсь я 
 Свершить последнее условье, 
 Закон последний бытия; 
 Ты не спасешь меня, Киприда! 
 Пробьют урочные часы 
 И низойдет к брегам Аида 
 Певец веселья и красы.


Простите, ветреные други, 
 С кем беззаботно в жизни сей 
 Делил я шумные досуги 
 Разгульной юности моей! 
 Я не страшуся новоселья; 
 Где б ни жил я, мне всё равно: 
 Там тоже славить от безделья 
 Я стану дружбу и вино. 
 Не изменясь в подземном мире, 
 И там на шаловливой лире 
 Превозносить я буду вновь 
 Покойной Дафне и Темире 
 Неприхотливую любовь.


О Дельвиг! слезы мне не нужны; 
 Верь: в закоцитной стороне 
 Прием радушный будет мне: 
 Со мною Музы были дружны! 
 Там, в очарованной тени, 
 У струй, где нежатся поэты, 
 Прочту Катуллу и Парни 
 Мои небрежные куплеты, 
 И улыбнутся мне они.


Когда из таинственной сени, 
 От темных Орковых полей, 
 Здесь навещать своих друзей 
 Порою могут наши тени, 
 Я навещу, о други, вас; 
 Сыны забавы и веселья! 
 Когда для шумного похмелья 
 Вы соберетесь в праздный час, 
 Приду я с вами Вакха славить; 
 А к вам молитва об одном: 
 Прибор покойнику оставить 
 Не позабудьте за столом.


Меж тем за тайными брегами, 
 Друзей вина, друзей пиров, 
 Веселых, добрых мертвецов 
 Я подружу заочно с вами. 
 И вам, чрез день или другой, 
 Закон губительный Зевеса 
 Велит покинуть мир земной; 
 Мы встретим вас у врат Айдеса 
 Знакомой дружеской толпой; 
 Наполним радостные чаши, 
 Хвала свиданью возгремит, 
 И огласят приветы наши 
 Весь необъемлемый Аид!


"
22;да;2793;xix/baratynsky/br1-033;Е. А. Баратынский;1822;Я6м+Я4ж;Делии : «Зачем, о Делия! сердца младые ты...»;"Зачем, о Делия! сердца младые ты 
 Игрой любви и сладострастья 
 Исполнить силишься мучительной мечты 
 Недосягаемого счастья? 
 Я видел вкруг тебя поклонников твоих, 
 Полуиссохших в страсти жадной: 
 Достигнув их любви, любовным клятвам их 
 Внимаешь ты с улыбкой хладной. 
 Обманывай слепцов и смейся их судьбе: 
 Теперь душа твоя в покое; 
 Придется некогда изведать и тебе 
 Очарованье роковое! 
 Не опасаяся насмешливых сетей, 
 Быть может, избранный тобою 
 Уже не вверится огню любви твоей, 
 Не тронется ее тоскою. 
 Когда ж пора придет, и розы красоты, 
 Вседневно свежестью беднея, 
 Погибнут, отвечай: к чему прибегнешь ты, 
 К чему, бесчарная Цирцея? 
 Искусством округлишь ты высохшую грудь, 
 Худые щеки нарумянишь, 
 Дитя крылатое захочешь как-нибудь 
 Вновь приманить... но не приманишь! 
 В замену снов младых тебе не обрести 
 Покоя, поздних лет отрады; 
 Куда бы ни пошла, взроятся на пути 
 Самолюбивые досады! 
 Немирного душой на мирном ложе сна 
 Так убегает усыпленье, 
 И где для каждого доступна тишина, 
 Страдальца ждет одно волненье.


"
23;да;2794;xix/baratynsky/br1-034;Е. А. Баратынский;1825-1827;Я5ж,м;Оправдание : «Решительно печальных строк моих...»;"Решительно печальных строк моих 
 Не хочешь ты ответом удостоить; 
 Не тронулась ты нежным чувством их 
 И презрела мне сердце успокоить! 
 Не оживу я в памяти твоей, 
 Не вымолю прощенья у жестокой! 
 Виновен я: я был неверен ей; 
 Нет жалости к тоске моей глубокой! 
 Виновен я: я славил жен других... 
 Так! но когда их слух предубежденной 
 Я обольщал игрою струн моих, 
 К тебе летел я думой умиленной, 
 Тебя я пел под именами их. 
 Виновен я: на балах городских, 
 Среди толпы весельем оживленной, 
 При гуле струн, в безумном вальсе мча 
 То Делию, то Дафну, то Лилету, 
 И всем троим готовый сгоряча 
 Произнести по страстному обету; 
 Касаяся душистых их кудрей 
 Лицом моим; объемля жадной дланью 
 Их стройный стан; -- так! в памяти моей 
 Уж не было подруги прежних дней, 
 И предан был я новому мечтанью! 
 Но к ним ли я любовию пылал? 
 Нет, милая! когда в уединеньи 
 Себя потом я тихо поверял: 
 Их находя в моем воображеньи, 
 Тебя одну я в сердце обретал! 
 Приветливых, послушных без ужимок, 
 Улыбчивых для шалости младой, 
 Из-за угла Пафосских пилигримок 
 Я сторожил вечернею порой; 
 На миг один их своевольный пленник, 
 Я только был шалун, а не изменник. 
 Нет! более надменна, чем нежна, 
 Ты всё еще обид своих полна... 
 Прости ж навек! но знай, что двух виновных, 
 Не одного, найдутся имена 
 В стихах моих, в преданиях любовных.


"
24;да;2795;xix/baratynsky/br1-036;Е. А. Баратынский;1823;Я4,Я5,Я6ж,м;Признание : «Притворной нежности не требуй от меня...»;"Притворной нежности не требуй от меня: 
 Я сердца моего не скрою хлад печальной. 
 Ты права, в нем уж нет прекрасного огня 
 Моей любви первоначальной.


Напрасно я себе на память приводил 
 И милый образ твой и прежние мечтанья: 
 Безжизненны мои воспоминанья, 
 Я клятвы дал, но дал их выше сил.


Я не пленен красавицей другою, 
 Мечты ревнивые от сердца удали; 
 Но годы долгие в разлуке протекли, 
 Но в бурях жизненных развлекся я душою.


Уж ты жила неверной тенью в ней; 
 Уже к тебе взывал я редко, принужденно, 
 И пламень мой, слабея постепенно, 
 Собою сам погас в душе моей.


Верь, жалок я один. Душа любви желает, 
 Но я любить не буду вновь; 
 Вновь не забудусь я: вполне упоевает 
 Нас только первая любовь.


Грущу я; но и грусть минует, знаменуя 
 Судьбины полную победу надо мной: 
 Кто знает? мнением сольюся я с толпой; 
 Подругу, без любви, кто знает? изберу я. 
 На брак обдуманный я руку ей подам 
 И в храме стану рядом с нею, 
 Невинной, преданной, быть может, лучшим снам, 
 И назову ее моею, 
 И весть к тебе придет, но не завидуй нам: 
 Обмена тайных дум не будет между нами, 
 Душевным прихотям мы воли не дадим: 
 Мы не сердца под брачными венцами, 
 Мы жребии свои соединим. 
 Прощай! Мы долго шли дорогою одною: 
 Путь новый я избрал, путь новый избери; 
 Печаль бесплодную рассудком усмири 
 И не вступай, молю, в напрасный суд со мною. 
 Невластны мы в самих себе 
 И, в молодые наши леты, 
 Даем поспешные обеты, 
 Смешные, может быть, всевидящей судьбе.


"
25;да;2796;xix/baratynsky/br1-038;Е. А. Баратынский;1822;Я2ж,м;Догадка : «Любви приметы я не забыл...»;"Любви приметы 
 Я не забыл, 
 Я ей служил 
 В былые леты! 
 В ней говорит 
 И жар ланит 
 И вздох случайной... 
 О! я знаком 
 С сим языком 
 Любови тайной! 
 В душе твоей 
 Уж нет покоя; 
 Давным давно я 
 Читаю в ней. 
 Любви приметы 
 Я не забыл, 
 Я ей служил 
 В былые леты!


"
