"","path","text_id","A_ID","author_text","text_title","first_line","PER_ID","year","vol","num","pages","subtitle","author_sign"
"67","../../data/corpus1835/periodicals/per_raw//P_1058.txt","P_1058","A-153","Ростопчина Е.П.","Черновая книга Пушкина","Смотрю с волнением, с тоскою умиленной","Совр",1839,"Т. 15. 3-ей паг","","137-138","Василию Андреевичу Жуковскому","Гр-ня Е. Р-на"
"68","../../data/corpus1835/periodicals/per_raw//P_1059.txt","P_1059","A-154","Тютчев Ф.И.","Лебедь","Пускай орел за облаками","Совр",1839,"Т. 15. 3-ей паг","","139","","Ф. Т - - в"
"69","../../data/corpus1835/periodicals/per_raw//P_106.txt","P_106","A-15","Тимофеев А.В.","Просьба","Подари мне, мой час","БдЧ",1836,"Т. 16","","164","","Тимофеев"
"70","../../data/corpus1835/periodicals/per_raw//P_1060.txt","P_1060","A-51","Стромилов С.И.","Остров","Есть дикая скала в пустыне океана","Совр",1839,"Т. 15. 3-ей паг","","140-142","Е<?>.А. Баратынскому","С. Стромилов"
"71","../../data/corpus1835/periodicals/per_raw//P_1061.txt","P_1061","A-153","Ростопчина Е.П.","Сочувствия","Встречаются на жизненной дороге","Совр",1839,"Т. 15. 3-ей паг","","143-145","Графине Софье Александровне Бобринской","Гр-ня Е. Р-на"
"72","../../data/corpus1835/periodicals/per_raw//P_1062.txt","P_1062","A-257","Милькеев Е.Л.","Беспокойство","Зачем, на лоне тишины","Совр",1839,"Т. 15. 3-ей паг","","146-147","","Эм- - въ"
"73","../../data/corpus1835/periodicals/per_raw//P_1063.txt","P_1063","A-160","Ознобишин Д.П.","Кончина юноши-жениха","Между гименом и могилой","Совр",1839,"Т. 15. 3-ей паг","","148","С греческого","Ознобишин"
"74","../../data/corpus1835/periodicals/per_raw//P_1064.txt","P_1064","A-63","Вердеревский А.","Рассвет","Тихо к тучам прикоснулась","Совр",1839,"Т. 15. 3-ей паг","","149-150","","А. Вердеревский"
"75","../../data/corpus1835/periodicals/per_raw//P_1065.txt","P_1065","A-165","Катков М.Н.","В жизни темной","В жизни темной и унылой","Совр",1839,"Т. 15. 3-ей паг","","151","Из Гейне","Катков"
"76","../../data/corpus1835/periodicals/per_raw//P_1066.txt","P_1066","A-153","Ростопчина Е.П.","Воспоминание о милой женщине Александре Осиповне Смирновой","Нет, вы не знаете ее","Совр",1839,"Т. 15. 3-ей паг","","152-154","","Гр-ня Е. Р-на"
"77","../../data/corpus1835/periodicals/per_raw//P_1067.txt","P_1067","A-101","Шахова Е.Н.","Покровителю","В свои небесные скрижали","Совр",1839,"Т. 15. 3-ей паг","","155-156","В.П.П.","Елисавета Шахова"
"78","../../data/corpus1835/periodicals/per_raw//P_1068.txt","P_1068","A-2","Баратынский Е.А.","","Благословен святое возвестивший","Совр",1839,"Т. 15. 3-ей паг","","157","Антологические стихотворения","Баратынский"
"79","../../data/corpus1835/periodicals/per_raw//P_1069.txt","P_1069","A-2","Баратынский Е.А.","","Были бури, непогоды","Совр",1839,"Т. 15. 3-ей паг","","158","Антологические стихотворения","Баратынский"
"80","../../data/corpus1835/periodicals/per_raw//P_107.txt","P_107","A-221","Пожарский И.","Червоный колпак","Чи-чи-чи! кричит сорока","БдЧ",1836,"Т. 16","","164-168","Белорусская баллада","И. Пожарский"
"81","../../data/corpus1835/periodicals/per_raw//P_1070.txt","P_1070","A-2","Баратынский Е.А.","","Еще как патриарх не древен я. Моей","Совр",1839,"Т. 15. 3-ей паг","","158","Антологические стихотворения","Баратынский"
"82","../../data/corpus1835/periodicals/per_raw//P_1071.txt","P_1071","A-127","Ободовский П.Г.","Его Императорскому Высочеству Герцогу Максимилиану Лейхтенбергскому принцу Эйхштедтскому","Как весело, в лучах Монаршего венца","Совр",1839,"Т. 16. 3-ей паг","","214-215","","П. Ободовский"
"83","../../data/corpus1835/periodicals/per_raw//P_1072.txt","P_1072","A-19","Жуковский В.А.","Сельское кладбище","Колокол поздний кончину отшедшего дня возвещает","Совр",1839,"Т. 16. 3-ей паг","","217-225","Греева элегия","В. Жуковский"
"84","../../data/corpus1835/periodicals/per_raw//P_1073.txt","P_1073","A-166","Грот Я.К.","Вечер на рождество","Над степью бледный месяц плыл","Совр",1840,"Т. 17. 1-й паг","","28-31","Из Рунеберга, с шведского","Я. Грот"
"85","../../data/corpus1835/periodicals/per_raw//P_1074.txt","P_1074","A-19","Жуковский В.А.","Молитвой нашей Бог смягчился","С полудороги прилетел ты","Совр",1840,"Т. 17. 3-ей паг","","112-114","","В. Жуковский"
"86","../../data/corpus1835/periodicals/per_raw//P_1075.txt","P_1075","","Н.К.","К Александровской колонне","О памятник годины славной","Совр",1840,"Т. 17. 3-ей паг","","115-116","","Н.К."
"87","../../data/corpus1835/periodicals/per_raw//P_1076.txt","P_1076","A-221","Пожарский И.","Прошедший год","Чуть помня о мечте своей","Совр",1840,"Т. 17. 3-ей паг","","117-122","","И. Пожарский"
"88","../../data/corpus1835/periodicals/per_raw//P_1077.txt","P_1077","A-153","Ростопчина Е.П.","Нардзан","О нет! не сравнивайте с ним","Совр",1840,"Т. 17. 3-ей паг","","123-124","","Гр-ня Е. Р-на"
"89","../../data/corpus1835/periodicals/per_raw//P_1078.txt","P_1078","A-161","Айбулат К.М.","Ты в мир земной пришла","Ты в мир земной пришла ошибкой","Совр",1840,"Т. 17. 3-ей паг","","125","","К. Айбулат"
"90","../../data/corpus1835/periodicals/per_raw//P_1079.txt","P_1079","A-208","Клюшников И.П.","На смерть девушки","Закрылись прекрасные очи","Совр",1840,"Т. 17. 3-ей паг","","129-130","","- Ф -"
"91","../../data/corpus1835/periodicals/per_raw//P_108.txt","P_108","A-113","Козлов И.И.","Тайна","В лесу, прибит на дубе вековом","БдЧ",1836,"Т. 16","","169-170","Баллада","И. Козлов"
"92","../../data/corpus1835/periodicals/per_raw//P_1080.txt","P_1080","A-161","Айбулат К.М.","Могила","И право лучше там, в жилище мертвецов","Совр",1840,"Т. 17. 3-ей паг","","131","","К. Айбулат"
"93","../../data/corpus1835/periodicals/per_raw//P_1081.txt","P_1081","A-101","Шахова Е.Н.","Решимость","Я покинула желанья","Совр",1840,"Т. 17. 3-ей паг","","132-133","","Елисавета Шахова"
"94","../../data/corpus1835/periodicals/per_raw//P_1082.txt","P_1082","A-153","Ростопчина Е.П.","Колокольный звон ночью","Он томно загудел, торжественный, нежданный","Совр",1840,"Т. 17. 3-ей паг","","134-135","","Гр-ня Е. Р-на"
"95","../../data/corpus1835/periodicals/per_raw//P_1083.txt","P_1083","A-161","Айбулат К.М.","Слезы","Я так счастлив, великий Боже","Совр",1840,"Т. 17. 3-ей паг","","136","","К. Айбулат"
"96","../../data/corpus1835/periodicals/per_raw//P_1084.txt","P_1084","A-77","Сушков Д.П.","Был год","Был год, год мести роковой","Совр",1840,"Т. 17. 3-ей паг","","137-139","","Д. Сушков"
"97","../../data/corpus1835/periodicals/per_raw//P_1085.txt","P_1085","","","Простонародный рассказ","Жил да был на земле","Совр",1840,"Т. 17. 3-ей паг","","140-142","",""
"98","../../data/corpus1835/periodicals/per_raw//P_1086.txt","P_1086","A-153","Ростопчина Е.П.","Хранитель-крест","Мой крест, хранитель мой! с молитвой, с упованьем","Совр",1840,"Т. 18. 3-ей паг","","247-248","","Гр-ня Е. Р-на"
"99","../../data/corpus1835/periodicals/per_raw//P_1087.txt","P_1087","A-257","Милькеев Е.Л.","Колокол в Кремле","В короткий, мгновенный период свиданья","Совр",1840,"Т. 18. 3-ей паг","","249-252","","Эм- - въ"
"100","../../data/corpus1835/periodicals/per_raw//P_1088.txt","P_1088","A-2","Баратынский Е.А.","","Тщетно, меж бурною жизнью и хладною смертью, философ","Совр",1840,"Т. 18. 3-ей паг","","253","Антологические стихотворения","Е. Баратынский"
"101","../../data/corpus1835/periodicals/per_raw//P_1089.txt","P_1089","","","А.М.С.","Она была сирот отрада","Совр",1840,"Т. 18. 3-ей паг","","253","Антологические стихотворения",""
"102","../../data/corpus1835/periodicals/per_raw//P_109.txt","P_109","A-15","Тимофеев А.В.","Вдали и вблизи","Утро.. полдень.. вечереет","БдЧ",1836,"Т. 17","","1-3","","Тимофеев"
"103","../../data/corpus1835/periodicals/per_raw//P_1090.txt","P_1090","A-2","Баратынский Е.А.","","Все мысль да мысль!… художник бедный слова","Совр",1840,"Т. 18. 3-ей паг","","254","Антологические стихотворения","Е. Баратынский"
"104","../../data/corpus1835/periodicals/per_raw//P_1091.txt","P_1091","A-166","Грот Я.К.","На гробницу младенца","Здесь ангел спит. На жизнь земную","Совр",1840,"Т. 18. 3-ей паг","","254","Антологические стихотворения","Я. Грот"
"105","../../data/corpus1835/periodicals/per_raw//P_1092.txt","P_1092","A-139","Прокопович Н.Я.","Граф Конрад и его жена","Рыцарь! солнце взошло","Совр",1840,"Т. 19. 3ей паг","","164-173","Баллада","Н. Прокопович"
"106","../../data/corpus1835/periodicals/per_raw//P_1093.txt","P_1093","A-257","Милькеев Е.Л.","Художник","По теплой страсти иль от скуки","Совр",1840,"Т. 19. 3ей паг","","174-182","Оль-Буль","Эм- - въ"
"107","../../data/corpus1835/periodicals/per_raw//P_1094.txt","P_1094","A-101","Шахова Е.Н.","Женщина и бал","Мне скучны бальные веселья","Совр",1840,"Т. 19. 3ей паг","","183-186","","Е. Шахова"
"108","../../data/corpus1835/periodicals/per_raw//P_1095.txt","P_1095","A-154","Тютчев Ф.И.","Осенний вечер","Есть в светлости осенних вечеров","Совр",1840,"Т. 19. 3ей паг","","187","","Ф. Т - - в"
"109","../../data/corpus1835/periodicals/per_raw//P_1096.txt","P_1096","A-153","Ростопчина Е.П.","Как жаль ее","Ее не стало!… Замолчите","Совр",1840,"Т. 19. 3ей паг","","188-190","","Гр-ня Е. Р-на"
"110","../../data/corpus1835/periodicals/per_raw//P_1097.txt","P_1097","","","","Сыны племен, когда-то враждовавших","Совр",1840,"Т. 20. 1ой паг","","17-19","",""
"111","../../data/corpus1835/periodicals/per_raw//P_1098.txt","P_1098","A-19","Жуковский В.А.","Чувства пред гробом Государыни Императрицы Марии Феодоровны, в ночи, накануне ее погребения","И так Твой гроб с мольбой объемлю","Совр",1840,"Т. 20. 1ой паг","","89-93","","В. Жуковский"
"112","../../data/corpus1835/periodicals/per_raw//P_1099.txt","P_1099","A-153","Ростопчина Е.П.","Первый соловей","Так это правда? и весна","Совр",1840,"Т. 20. 3ей паг","","291-292","","Гр-ня Е. Р-на"
"113","../../data/corpus1835/periodicals/per_raw//P_11.txt","P_11","A-138","Кутайсов А.И.","Аполог","Нас всегда мечта напрасно","БдЧ",1835,"Т.8. Отд. 1","","22","","А.И. Кутайсов"
"114","../../data/corpus1835/periodicals/per_raw//P_110.txt","P_110","A-18","Бенедиктов В.Г.","К Алине","Алина, вижу, ты прекрасна","БдЧ",1836,"Т. 17","","191-192","","Бенедиктов"
"115","../../data/corpus1835/periodicals/per_raw//P_1100.txt","P_1100","A-232","Корсакова Л.","Бредина и волны","В тот миг, когда море бушует, бурлит","Совр",1840,"Т. 20. 3ей паг","","293-294","Дума. П.А. Плетневу","Лидия К - - ва"
"116","../../data/corpus1835/periodicals/per_raw//P_1101.txt","P_1101","A-161","Айбулат К.М.","Посвящено Е-е А-е К-ой","Она не дева красоты","Совр",1840,"Т. 20. 3ей паг","","295-296","","К. Айбулат"
"117","../../data/corpus1835/periodicals/per_raw//P_1102.txt","P_1102","A-101","Шахова Е.Н.","Мечтатель","Разочарованный, угрюмый","Совр",1840,"Т. 20. 3ей паг","","297-298","","Е. Шахова"
"118","../../data/corpus1835/periodicals/per_raw//P_1103.txt","P_1103","A-154","Тютчев Ф.И.","С какою негою","С какою негою, с какой тоской влюбленной","Совр",1840,"Т. 20. 3ей паг","","299","","Ф. Т - - в"
"119","../../data/corpus1835/periodicals/per_raw//P_1104.txt","P_1104","A-153","Ростопчина Е.П.","В Москву!","В Москву! В Москву!… в тот город столь знакомый","Совр",1840,"Т. 20. 3ей паг","","300-301","","Гр - - ня Ев. Рас - - на"
"120","../../data/corpus1835/periodicals/per_raw//P_1105.txt","P_1105","A-161","Айбулат К.М.","Совет","Счастливое, беспечное дитя","Совр",1840,"Т. 20. 3ей паг","","302","","К. Айбулат"
"121","../../data/corpus1835/periodicals/per_raw//P_1106.txt","P_1106","A-153","Ростопчина Е.П.","Песни Трувера","Певец мой, приближься; святых вдохновений","ОЗ",1839,"Т. 4. Отд. 3","","1-4","","Гр-ня Е. Р-на"
"122","../../data/corpus1835/periodicals/per_raw//P_1107.txt","P_1107","A-165","Катков М.Н.","Саламанка","На бульварах Саламанки","ОЗ",1839,"Т. 4. Отд. 4","","74","Из Гейне","М. Катков"
"123","../../data/corpus1835/periodicals/per_raw//P_111.txt","P_111","","","Упрек","Время быстро летит","БдЧ",1836,"Т. 17","","192-193","Из греческой антологии",""
"124","../../data/corpus1835/periodicals/per_raw//P_1110.txt","P_1110","A-114","Лермонтов М.Ю.","Еврейская мелодия","Душа моя мрачна. Скорей, певец, скорей","ОЗ",1839,"Т. 4. Отд. 4","","80","Из Байрона","М. Лермонтов"
"125","../../data/corpus1835/periodicals/per_raw//P_1111.txt","P_1111","A-114","Лермонтов М.Ю.","В альбом","Как одинокая гробница","ОЗ",1839,"Т. 4. Отд. 4","","81","Из Байрона","М. Лермонтов"
