"","text_id","A_ID","author_text","author_sign","text_title","text_subtitle","first_line","year","path_text","source_text","COL_ID","corpus"
"23","P_1018","A-170","Тургенев И.С.","-в","К Венере Медицейской","","Богиня красоты, любви и наслажденья","1838","../../data/corpus1835/periodicals/per_raw//P_1018.txt","Совр. 1838. Т. 12. 3-ей паг. C. 82-84","","per"
"24","P_1019","A-221","Пожарский И.","И. Пожарский","Друг, оседлай","","Друг! оседлай могучего орла","1838","../../data/corpus1835/periodicals/per_raw//P_1019.txt","Совр. 1838. Т. 12. 3-ей паг. C. 85","","per"
"25","P_102","A-231","Языкова Л.","Л. Языкова","Бессмертие","","Чего всю жизнь достигнуть тщитесь","1836","../../data/corpus1835/periodicals/per_raw//P_102.txt","БдЧ. 1836. Т. 16. C. 14-16","","per"
"26","P_1020","A-50","Якубович Л.А.","Л. Якубович","За днями дни текут","","За днями дни текут обычной чередою","1838","../../data/corpus1835/periodicals/per_raw//P_1020.txt","Совр. 1838. Т. 12. 3-ей паг. C. 86","","per"
"27","P_1021","","А.Ш.","А.Ш.","Алупка","","Девы! Севера родного","1838","../../data/corpus1835/periodicals/per_raw//P_1021.txt","Совр. 1838. Т. 12. 3-ей паг. C. 87-88","","per"
"28","P_1022","A-242","Рудыковский Н.","Н. Рудыковский","К женщине","","Когда ты, женщина, предавшись обольщенью","1838","../../data/corpus1835/periodicals/per_raw//P_1022.txt","Совр. 1838. Т. 12. 3-ей паг. C. 89","","per"
"29","P_1023","A-4","Деларю М.Д.","М. Деларю","Надгробие младенцу","","Матери, общей нам всем, поручаю твой прах, мой младенец","1838","../../data/corpus1835/periodicals/per_raw//P_1023.txt","Совр. 1838. Т. 12. 3-ей паг. C. 90","","per"
"30","P_1024","A-154","Тютчев Ф.И.","Ф. Т-в","Арфа Скальда","","О, арфа Скальда! долго ты спала","1838","../../data/corpus1835/periodicals/per_raw//P_1024.txt","Совр. 1838. Т. 12. 3-ей паг. C. 91","","per"
"31","P_1025","A-7","Кольцов А.В.","А. Кольцов","К милой","","Давно расстались мы с тобою","1838","../../data/corpus1835/periodicals/per_raw//P_1025.txt","Совр. 1838. Т. 12. 3-ей паг. C. 92-93","","per"
"32","P_1026","A-166","Грот Я.К.","Я. Грот","Воскресное утро","Перевод из Францена","Какая всюду тишина","1839","../../data/corpus1835/periodicals/per_raw//P_1026.txt","Совр. 1839. Т. 13. 1-ой паг. C. 18-20","","per"
"33","P_1027","A-166","Грот Я.К.","Я. Грот","","Перевод из Тегнера","Он скитался вокруг по пустынным морям","1839","../../data/corpus1835/periodicals/per_raw//P_1027.txt","Совр. 1839. Т. 13. 1-ой паг. C. 27-29","","per"
"34","P_1028","A-166","Грот Я.К.","Я. Грот","Жалоба девы","Перевод из Рунеберга","Сердце! сердце! если б ты, тревожное","1839","../../data/corpus1835/periodicals/per_raw//P_1028.txt","Совр. 1839. Т. 13. 1-ой паг. C. 44","","per"
"35","P_1029","A-166","Грот Я.К.","Я. Грот","Времена года в сердце девушки","Перевод из Рунеберга","Зимним утром вышла девица","1839","../../data/corpus1835/periodicals/per_raw//P_1029.txt","Совр. 1839. Т. 13. 1-ой паг. C. 45","","per"
"36","P_103","A-143","Ершов П.П.","П. Ершов","Послание к другу","","Мой друг! куда, в какие воды","1836","../../data/corpus1835/periodicals/per_raw//P_103.txt","БдЧ. 1836. Т. 16. C. 155-160","","per"
"37","P_1030","A-166","Грот Я.К.","Я. Грот","Диво-птица","Перевод из Рунеберга","В хату сын пришел из поля на ночь","1839","../../data/corpus1835/periodicals/per_raw//P_1030.txt","Совр. 1839. Т. 13. 1-ой паг. C. 45-48","","per"
"38","P_1031","A-166","Грот Я.К.","Я. Грот","Пленники","Перевод из Рунеберга","Как со дна реки, с песчаного","1839","../../data/corpus1835/periodicals/per_raw//P_1031.txt","Совр. 1839. Т. 13. 1-ой паг. C. 49-50","","per"
"39","P_1032","A-151","Катенин П.А.","П. К- - - ъ","Песнь русского","","Святую Русь и Белого Царя","1839","../../data/corpus1835/periodicals/per_raw//P_1032.txt","Совр. 1839. Т. 13. 2-ой паг. C. 165","","per"
"40","P_1033","A-154","Тютчев Ф.И.","Ф. Т-в","Весна","","Как ни гнетет рука судьбины","1839","../../data/corpus1835/periodicals/per_raw//P_1033.txt","Совр. 1839. Т. 13. 2-ой паг. C. 169-170","","per"
"41","P_1034","A-51","Стромилов С.И.","С. Стромилов","Люблю","","Люблю я пламенные очи","1839","../../data/corpus1835/periodicals/per_raw//P_1034.txt","Совр. 1839. Т. 13. 2-ой паг. C. 171-172","","per"
"42","P_1035","A-50","Якубович Л.А.","Л. Якубович","Девице-поэту","","Восторгов чистых, дум прекрасных","1839","../../data/corpus1835/periodicals/per_raw//P_1035.txt","Совр. 1839. Т. 13. 2-ой паг. C. 173-174","","per"
"43","P_1036","A-4","Деларю М.Д.","М. Деларю","Марии Д***с","","Дарами благими всещедрой рукою","1839","../../data/corpus1835/periodicals/per_raw//P_1036.txt","Совр. 1839. Т. 13. 2-ой паг. C. 175","","per"
"44","P_1037","A-11","Пушкин А.С.","А. Пушкин","Путешенственнику","","Судьба на руль уже склонилась","1839","../../data/corpus1835/periodicals/per_raw//P_1037.txt","Совр. 1839. Т. 13. 2-ой паг. C. 176","","per"
"45","P_1038","A-229","Петерсон К.А.","Крлптрсн","Сонет","","С тоской и полный грустных размышлений","1839","../../data/corpus1835/periodicals/per_raw//P_1038.txt","Совр. 1839. Т. 13. 2-ой паг. C. 177","","per"
"46","P_1039","A-257","Милькеев Е.Л.","Эм- - въ","И как светло","","И как светло, и как прекрасно","1839","../../data/corpus1835/periodicals/per_raw//P_1039.txt","Совр. 1839. Т. 13. 2-ой паг. C. 178-179","","per"
"47","P_104","A-220","Панаев И.И.","И. Панаев","Минувшая юность","Из Виктора Гюго","Воспоминанием отрадно вдохновенный","1836","../../data/corpus1835/periodicals/per_raw//P_104.txt","БдЧ. 1836. Т. 16. C. 160-161","","per"
"48","P_1040","A-77","Сушков Д.П.","Д. Сушков","Редкие мгновения","","Минуты есть: в душе благоговенье","1839","../../data/corpus1835/periodicals/per_raw//P_1040.txt","Совр. 1839. Т. 13. 2-ой паг. C. 180","","per"
"49","P_1041","A-161","Айбулат К.М.","К. Айбулат","Вал","","Кипучий вал, тревожный вал","1839","../../data/corpus1835/periodicals/per_raw//P_1041.txt","Совр. 1839. Т. 13. 2-ой паг. C. 181-182","","per"
"50","P_1042","A-163","Гребенка Е.П.","Е. Гребенка","Богдан","Отрывок из поэмы","Ночь. Вся окрестность тихо спит","1839","../../data/corpus1835/periodicals/per_raw//P_1042.txt","Совр. 1839. Т. 14. 3-ей паг. C. 137-141","","per"
"51","P_1043","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","Отрывок из поэмы","","Как тяжело, как грустно сиротство","1839","../../data/corpus1835/periodicals/per_raw//P_1043.txt","Совр. 1839. Т. 14. 3-ей паг. C. 142-144","","per"
"52","P_1044","A-154","Тютчев Ф.И.","Ф. Т - - в","День и ночь","","На мир таинственный духов","1839","../../data/corpus1835/periodicals/per_raw//P_1044.txt","Совр. 1839. Т. 14. 3-ей паг. C. 145","","per"
"53","P_1045","A-161","Айбулат К.М.","К. Айбулат","Красная","","Пойдем-ка, брат - ведь ты знаток","1839","../../data/corpus1835/periodicals/per_raw//P_1045.txt","Совр. 1839. Т. 14. 3-ей паг. C. 146-147","","per"
"54","P_1046","A-51","Стромилов С.И.","С. Стромилов","М.П. Бибикову","","Ты счастлив, друг! В страну очарованья","1839","../../data/corpus1835/periodicals/per_raw//P_1046.txt","Совр. 1839. Т. 14. 3-ей паг. C. 148-149","","per"
"55","P_1047","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","Сосновый лес","","Весенних дней цветущее убранство","1839","../../data/corpus1835/periodicals/per_raw//P_1047.txt","Совр. 1839. Т. 14. 3-ей паг. C. 150-151","","per"
"56","P_1048","","М. Пожарский","М. Пожарский","Ночь","","Ночь. Кругом все грозно было","1839","../../data/corpus1835/periodicals/per_raw//P_1048.txt","Совр. 1839. Т. 14. 3-ей паг. C. 152-153","","per"
"57","P_1049","A-154","Тютчев Ф.И.","Ф. Т - - в","Не верь, не верь поэту","","Не верь, не верь поэту, дева","1839","../../data/corpus1835/periodicals/per_raw//P_1049.txt","Совр. 1839. Т. 14. 3-ей паг. C. 154-155","","per"
"58","P_105","A-18","Бенедиктов В.Г.","Бенедиктов","Возвратись!","","В поход мы рядились: все прихоти - в пламень","1836","../../data/corpus1835/periodicals/per_raw//P_105.txt","БдЧ. 1836. Т. 16. C. 161-163","","per"
"59","P_1050","","","","Гробница","","В долине безмолвной, где говор людской","1839","../../data/corpus1835/periodicals/per_raw//P_1050.txt","Совр. 1839. Т. 14. 3-ей паг. C. 156-157","","per"
"60","P_1051","A-161","Айбулат К.М.","К. Айбулат","Последний его современник","","Слышишь, дядюшка, а? Дядька","1839","../../data/corpus1835/periodicals/per_raw//P_1051.txt","Совр. 1839. Т. 14. 3-ей паг. C. 158","","per"
"61","P_1052","A-7","Кольцов А.В.","А. Кольцов","Бегство","","Уж как гляну я на поле","1839","../../data/corpus1835/periodicals/per_raw//P_1052.txt","Совр. 1839. Т. 14. 3-ей паг. C. 159-161","","per"
"62","P_1053","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","","Две встречи","Я помню: на гульбище шумном","1839","../../data/corpus1835/periodicals/per_raw//P_1053.txt","Совр. 1839. Т. 14. 3-ей паг. C. 162-163","","per"
"63","P_1054","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","","Две встречи","Я помню, я помню другое свиданье","1839","../../data/corpus1835/periodicals/per_raw//P_1054.txt","Совр. 1839. Т. 14. 3-ей паг. C. 164-165","","per"
"64","P_1055","A-242","Рудыковский Н.","Н. Рудыковский","Посредница","","Из праха созданное тело","1839","../../data/corpus1835/periodicals/per_raw//P_1055.txt","Совр. 1839. Т. 14. 3-ей паг. C. 166-167","","per"
"65","P_1056","A-257","Милькеев Е.Л.","Эм- - въ","Сон Ломоносова","","Корабль на парусах летит","1839","../../data/corpus1835/periodicals/per_raw//P_1056.txt","Совр. 1839. Т. 14. 3-ей паг. C. 168-171","","per"
"66","P_1057","","М. Межаков","М. Межаков","Я видел море","","Я видел море: предо мною","1839","../../data/corpus1835/periodicals/per_raw//P_1057.txt","Совр. 1839. Т. 14. 3-ей паг. C. 172-174","","per"
"67","P_1058","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","Черновая книга Пушкина","Василию Андреевичу Жуковскому","Смотрю с волнением, с тоскою умиленной","1839","../../data/corpus1835/periodicals/per_raw//P_1058.txt","Совр. 1839. Т. 15. 3-ей паг. C. 137-138","","per"
"68","P_1059","A-154","Тютчев Ф.И.","Ф. Т - - в","Лебедь","","Пускай орел за облаками","1839","../../data/corpus1835/periodicals/per_raw//P_1059.txt","Совр. 1839. Т. 15. 3-ей паг. C. 139","","per"
"69","P_106","A-15","Тимофеев А.В.","Тимофеев","Просьба","","Подари мне, мой час","1836","../../data/corpus1835/periodicals/per_raw//P_106.txt","БдЧ. 1836. Т. 16. C. 164","","per"
"70","P_1060","A-51","Стромилов С.И.","С. Стромилов","Остров","Е<?>.А. Баратынскому","Есть дикая скала в пустыне океана","1839","../../data/corpus1835/periodicals/per_raw//P_1060.txt","Совр. 1839. Т. 15. 3-ей паг. C. 140-142","","per"
"71","P_1061","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","Сочувствия","Графине Софье Александровне Бобринской","Встречаются на жизненной дороге","1839","../../data/corpus1835/periodicals/per_raw//P_1061.txt","Совр. 1839. Т. 15. 3-ей паг. C. 143-145","","per"
"72","P_1062","A-257","Милькеев Е.Л.","Эм- - въ","Беспокойство","","Зачем, на лоне тишины","1839","../../data/corpus1835/periodicals/per_raw//P_1062.txt","Совр. 1839. Т. 15. 3-ей паг. C. 146-147","","per"
"73","P_1063","A-160","Ознобишин Д.П.","Ознобишин","Кончина юноши-жениха","С греческого","Между гименом и могилой","1839","../../data/corpus1835/periodicals/per_raw//P_1063.txt","Совр. 1839. Т. 15. 3-ей паг. C. 148","","per"
"74","P_1064","A-63","Вердеревский А.","А. Вердеревский","Рассвет","","Тихо к тучам прикоснулась","1839","../../data/corpus1835/periodicals/per_raw//P_1064.txt","Совр. 1839. Т. 15. 3-ей паг. C. 149-150","","per"
"75","P_1065","A-165","Катков М.Н.","Катков","В жизни темной","Из Гейне","В жизни темной и унылой","1839","../../data/corpus1835/periodicals/per_raw//P_1065.txt","Совр. 1839. Т. 15. 3-ей паг. C. 151","","per"
"76","P_1066","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","Воспоминание о милой женщине Александре Осиповне Смирновой","","Нет, вы не знаете ее","1839","../../data/corpus1835/periodicals/per_raw//P_1066.txt","Совр. 1839. Т. 15. 3-ей паг. C. 152-154","","per"
"77","P_1067","A-101","Шахова Е.Н.","Елисавета Шахова","Покровителю","В.П.П.","В свои небесные скрижали","1839","../../data/corpus1835/periodicals/per_raw//P_1067.txt","Совр. 1839. Т. 15. 3-ей паг. C. 155-156","","per"
"78","P_1068","A-2","Баратынский Е.А.","Баратынский","","Антологические стихотворения","Благословен святое возвестивший","1839","../../data/corpus1835/periodicals/per_raw//P_1068.txt","Совр. 1839. Т. 15. 3-ей паг. C. 157","","per"
"79","P_1069","A-2","Баратынский Е.А.","Баратынский","","Антологические стихотворения","Были бури, непогоды","1839","../../data/corpus1835/periodicals/per_raw//P_1069.txt","Совр. 1839. Т. 15. 3-ей паг. C. 158","","per"
"80","P_107","A-221","Пожарский И.","И. Пожарский","Червоный колпак","Белорусская баллада","Чи-чи-чи! кричит сорока","1836","../../data/corpus1835/periodicals/per_raw//P_107.txt","БдЧ. 1836. Т. 16. C. 164-168","","per"
"81","P_1070","A-2","Баратынский Е.А.","Баратынский","","Антологические стихотворения","Еще как патриарх не древен я. Моей","1839","../../data/corpus1835/periodicals/per_raw//P_1070.txt","Совр. 1839. Т. 15. 3-ей паг. C. 158","","per"
"82","P_1071","A-127","Ободовский П.Г.","П. Ободовский","Его Императорскому Высочеству Герцогу Максимилиану Лейхтенбергскому принцу Эйхштедтскому","","Как весело, в лучах Монаршего венца","1839","../../data/corpus1835/periodicals/per_raw//P_1071.txt","Совр. 1839. Т. 16. 3-ей паг. C. 214-215","","per"
"83","P_1072","A-19","Жуковский В.А.","В. Жуковский","Сельское кладбище","Греева элегия","Колокол поздний кончину отшедшего дня возвещает","1839","../../data/corpus1835/periodicals/per_raw//P_1072.txt","Совр. 1839. Т. 16. 3-ей паг. C. 217-225","","per"
"84","P_1073","A-166","Грот Я.К.","Я. Грот","Вечер на рождество","Из Рунеберга, с шведского","Над степью бледный месяц плыл","1840","../../data/corpus1835/periodicals/per_raw//P_1073.txt","Совр. 1840. Т. 17. 1-й паг. C. 28-31","","per"
"85","P_1074","A-19","Жуковский В.А.","В. Жуковский","Молитвой нашей Бог смягчился","","С полудороги прилетел ты","1840","../../data/corpus1835/periodicals/per_raw//P_1074.txt","Совр. 1840. Т. 17. 3-ей паг. C. 112-114","","per"
"86","P_1075","","Н.К.","Н.К.","К Александровской колонне","","О памятник годины славной","1840","../../data/corpus1835/periodicals/per_raw//P_1075.txt","Совр. 1840. Т. 17. 3-ей паг. C. 115-116","","per"
"87","P_1076","A-221","Пожарский И.","И. Пожарский","Прошедший год","","Чуть помня о мечте своей","1840","../../data/corpus1835/periodicals/per_raw//P_1076.txt","Совр. 1840. Т. 17. 3-ей паг. C. 117-122","","per"
"88","P_1077","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","Нардзан","","О нет! не сравнивайте с ним","1840","../../data/corpus1835/periodicals/per_raw//P_1077.txt","Совр. 1840. Т. 17. 3-ей паг. C. 123-124","","per"
"89","P_1078","A-161","Айбулат К.М.","К. Айбулат","Ты в мир земной пришла","","Ты в мир земной пришла ошибкой","1840","../../data/corpus1835/periodicals/per_raw//P_1078.txt","Совр. 1840. Т. 17. 3-ей паг. C. 125","","per"
"90","P_1079","A-208","Клюшников И.П.","- Ф -","На смерть девушки","","Закрылись прекрасные очи","1840","../../data/corpus1835/periodicals/per_raw//P_1079.txt","Совр. 1840. Т. 17. 3-ей паг. C. 129-130","","per"
"91","P_108","A-113","Козлов И.И.","И. Козлов","Тайна","Баллада","В лесу, прибит на дубе вековом","1836","../../data/corpus1835/periodicals/per_raw//P_108.txt","БдЧ. 1836. Т. 16. C. 169-170","","per"
"92","P_1080","A-161","Айбулат К.М.","К. Айбулат","Могила","","И право лучше там, в жилище мертвецов","1840","../../data/corpus1835/periodicals/per_raw//P_1080.txt","Совр. 1840. Т. 17. 3-ей паг. C. 131","","per"
"93","P_1081","A-101","Шахова Е.Н.","Елисавета Шахова","Решимость","","Я покинула желанья","1840","../../data/corpus1835/periodicals/per_raw//P_1081.txt","Совр. 1840. Т. 17. 3-ей паг. C. 132-133","","per"
"94","P_1082","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","Колокольный звон ночью","","Он томно загудел, торжественный, нежданный","1840","../../data/corpus1835/periodicals/per_raw//P_1082.txt","Совр. 1840. Т. 17. 3-ей паг. C. 134-135","","per"
"95","P_1083","A-161","Айбулат К.М.","К. Айбулат","Слезы","","Я так счастлив, великий Боже","1840","../../data/corpus1835/periodicals/per_raw//P_1083.txt","Совр. 1840. Т. 17. 3-ей паг. C. 136","","per"
"96","P_1084","A-77","Сушков Д.П.","Д. Сушков","Был год","","Был год, год мести роковой","1840","../../data/corpus1835/periodicals/per_raw//P_1084.txt","Совр. 1840. Т. 17. 3-ей паг. C. 137-139","","per"
"97","P_1085","","","","Простонародный рассказ","","Жил да был на земле","1840","../../data/corpus1835/periodicals/per_raw//P_1085.txt","Совр. 1840. Т. 17. 3-ей паг. C. 140-142","","per"
"98","P_1086","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","Хранитель-крест","","Мой крест, хранитель мой! с молитвой, с упованьем","1840","../../data/corpus1835/periodicals/per_raw//P_1086.txt","Совр. 1840. Т. 18. 3-ей паг. C. 247-248","","per"
"99","P_1087","A-257","Милькеев Е.Л.","Эм- - въ","Колокол в Кремле","","В короткий, мгновенный период свиданья","1840","../../data/corpus1835/periodicals/per_raw//P_1087.txt","Совр. 1840. Т. 18. 3-ей паг. C. 249-252","","per"
"100","P_1088","A-2","Баратынский Е.А.","Е. Баратынский","","Антологические стихотворения","Тщетно, меж бурною жизнью и хладною смертью, философ","1840","../../data/corpus1835/periodicals/per_raw//P_1088.txt","Совр. 1840. Т. 18. 3-ей паг. C. 253","","per"
"101","P_1089","","","","А.М.С.","Антологические стихотворения","Она была сирот отрада","1840","../../data/corpus1835/periodicals/per_raw//P_1089.txt","Совр. 1840. Т. 18. 3-ей паг. C. 253","","per"
"102","P_109","A-15","Тимофеев А.В.","Тимофеев","Вдали и вблизи","","Утро.. полдень.. вечереет","1836","../../data/corpus1835/periodicals/per_raw//P_109.txt","БдЧ. 1836. Т. 17. C. 1-3","","per"
"103","P_1090","A-2","Баратынский Е.А.","Е. Баратынский","","Антологические стихотворения","Все мысль да мысль!… художник бедный слова","1840","../../data/corpus1835/periodicals/per_raw//P_1090.txt","Совр. 1840. Т. 18. 3-ей паг. C. 254","","per"
"104","P_1091","A-166","Грот Я.К.","Я. Грот","На гробницу младенца","Антологические стихотворения","Здесь ангел спит. На жизнь земную","1840","../../data/corpus1835/periodicals/per_raw//P_1091.txt","Совр. 1840. Т. 18. 3-ей паг. C. 254","","per"
"105","P_1092","A-139","Прокопович Н.Я.","Н. Прокопович","Граф Конрад и его жена","Баллада","Рыцарь! солнце взошло","1840","../../data/corpus1835/periodicals/per_raw//P_1092.txt","Совр. 1840. Т. 19. 3ей паг. C. 164-173","","per"
"106","P_1093","A-257","Милькеев Е.Л.","Эм- - въ","Художник","Оль-Буль","По теплой страсти иль от скуки","1840","../../data/corpus1835/periodicals/per_raw//P_1093.txt","Совр. 1840. Т. 19. 3ей паг. C. 174-182","","per"
"107","P_1094","A-101","Шахова Е.Н.","Е. Шахова","Женщина и бал","","Мне скучны бальные веселья","1840","../../data/corpus1835/periodicals/per_raw//P_1094.txt","Совр. 1840. Т. 19. 3ей паг. C. 183-186","","per"
"108","P_1095","A-154","Тютчев Ф.И.","Ф. Т - - в","Осенний вечер","","Есть в светлости осенних вечеров","1840","../../data/corpus1835/periodicals/per_raw//P_1095.txt","Совр. 1840. Т. 19. 3ей паг. C. 187","","per"
"109","P_1096","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","Как жаль ее","","Ее не стало!… Замолчите","1840","../../data/corpus1835/periodicals/per_raw//P_1096.txt","Совр. 1840. Т. 19. 3ей паг. C. 188-190","","per"
"110","P_1097","","","","","","Сыны племен, когда-то враждовавших","1840","../../data/corpus1835/periodicals/per_raw//P_1097.txt","Совр. 1840. Т. 20. 1ой паг. C. 17-19","","per"
"111","P_1098","A-19","Жуковский В.А.","В. Жуковский","Чувства пред гробом Государыни Императрицы Марии Феодоровны, в ночи, накануне ее погребения","","И так Твой гроб с мольбой объемлю","1840","../../data/corpus1835/periodicals/per_raw//P_1098.txt","Совр. 1840. Т. 20. 1ой паг. C. 89-93","","per"
"112","P_1099","A-153","Ростопчина Е.П.","Гр-ня Е. Р-на","Первый соловей","","Так это правда? и весна","1840","../../data/corpus1835/periodicals/per_raw//P_1099.txt","Совр. 1840. Т. 20. 3ей паг. C. 291-292","","per"
"113","P_11","A-138","Кутайсов А.И.","А.И. Кутайсов","Аполог","","Нас всегда мечта напрасно","1835","../../data/corpus1835/periodicals/per_raw//P_11.txt","БдЧ. 1835. Т.8. Отд. 1. C. 22","","per"
"114","P_110","A-18","Бенедиктов В.Г.","Бенедиктов","К Алине","","Алина, вижу, ты прекрасна","1836","../../data/corpus1835/periodicals/per_raw//P_110.txt","БдЧ. 1836. Т. 17. C. 191-192","","per"
"115","P_1100","A-232","Корсакова Л.","Лидия К - - ва","Бредина и волны","Дума. П.А. Плетневу","В тот миг, когда море бушует, бурлит","1840","../../data/corpus1835/periodicals/per_raw//P_1100.txt","Совр. 1840. Т. 20. 3ей паг. C. 293-294","","per"
"116","P_1101","A-161","Айбулат К.М.","К. Айбулат","Посвящено Е-е А-е К-ой","","Она не дева красоты","1840","../../data/corpus1835/periodicals/per_raw//P_1101.txt","Совр. 1840. Т. 20. 3ей паг. C. 295-296","","per"
